,From Date,To Date,SO2
21,2019-06-25 01:15:00,2019-06-25 01:30:00,19.86
117,2019-06-26 01:15:00,2019-06-26 01:30:00,19.7
213,2019-06-27 01:15:00,2019-06-27 01:30:00,27.72
309,2019-06-28 01:15:00,2019-06-28 01:30:00,45.56
405,2019-06-29 01:15:00,2019-06-29 01:30:00,39.17
501,2019-06-30 01:15:00,2019-06-30 01:30:00,38.67
597,2019-01-07 01:15:00,2019-01-07 01:30:00,37.62
693,2019-02-07 01:15:00,2019-02-07 01:30:00,56.72
789,2019-03-07 01:15:00,2019-03-07 01:30:00,50.51
885,2019-04-07 01:15:00,2019-04-07 01:30:00,35.87
981,2019-05-07 01:15:00,2019-05-07 01:30:00,33.06
1077,2019-06-07 01:15:00,2019-06-07 01:30:00,36.58
1173,2019-07-07 01:15:00,2019-07-07 01:30:00,24.1
1269,2019-08-07 01:15:00,2019-08-07 01:30:00,38.38
1365,2019-09-07 01:15:00,2019-09-07 01:30:00,28.24
1461,2019-10-07 01:15:00,2019-10-07 01:30:00,35.71
1557,2019-11-07 01:15:00,2019-11-07 01:30:00,44.83
1653,2019-12-07 01:15:00,2019-12-07 01:30:00,49.57
1749,2019-07-13 01:15:00,2019-07-13 01:30:00,49.47
1845,2019-07-14 01:15:00,2019-07-14 01:30:00,122.35
1941,2019-07-15 01:15:00,2019-07-15 01:30:00,89.53
2037,2019-07-16 01:15:00,2019-07-16 01:30:00,173.26
2133,2019-07-17 01:15:00,2019-07-17 01:30:00,182.09
2229,2019-07-18 01:15:00,2019-07-18 01:30:00,None
2325,2019-07-19 01:15:00,2019-07-19 01:30:00,84.6
2421,2019-07-20 01:15:00,2019-07-20 01:30:00,None
2517,2019-07-21 01:15:00,2019-07-21 01:30:00,83.21
2613,2019-07-22 01:15:00,2019-07-22 01:30:00,63.85
2709,2019-07-23 01:15:00,2019-07-23 01:30:00,38.15
2805,2019-07-24 01:15:00,2019-07-24 01:30:00,55.68
2901,2019-07-25 01:15:00,2019-07-25 01:30:00,59.71
2997,2019-07-26 01:15:00,2019-07-26 01:30:00,None
3093,2019-07-27 01:15:00,2019-07-27 01:30:00,115.7
3189,2019-07-28 01:15:00,2019-07-28 01:30:00,82.9
3285,2019-07-29 01:15:00,2019-07-29 01:30:00,61.28
3381,2019-07-30 01:15:00,2019-07-30 01:30:00,59.08
3477,2019-07-31 01:15:00,2019-07-31 01:30:00,48.16
3573,2019-01-08 01:15:00,2019-01-08 01:30:00,44.02
3669,2019-02-08 01:15:00,2019-02-08 01:30:00,35.82
3765,2019-03-08 01:15:00,2019-03-08 01:30:00,38.99
3861,2019-04-08 01:15:00,2019-04-08 01:30:00,46.4
3957,2019-05-08 01:15:00,2019-05-08 01:30:00,36.42
4053,2019-06-08 01:15:00,2019-06-08 01:30:00,None
4149,2019-07-08 01:15:00,2019-07-08 01:30:00,39.9
4245,2019-08-08 01:15:00,2019-08-08 01:30:00,38.41
4341,2019-09-08 01:15:00,2019-09-08 01:30:00,50.59
4437,2019-10-08 01:15:00,2019-10-08 01:30:00,47.29
4533,2019-11-08 01:15:00,2019-11-08 01:30:00,42.18
4629,2019-12-08 01:15:00,2019-12-08 01:30:00,43.41
4725,2019-08-13 01:15:00,2019-08-13 01:30:00,42.18
4821,2019-08-14 01:15:00,2019-08-14 01:30:00,49.23
4917,2019-08-15 01:15:00,2019-08-15 01:30:00,None
5013,2019-08-16 01:15:00,2019-08-16 01:30:00,None
5109,2019-08-17 01:15:00,2019-08-17 01:30:00,50.36
