snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Ahaetulla nasuta,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Probably not present,Not
Malpolon moilensis,Not present,Not present,Present but not defined,Not present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Macrelaps microlepidotus,"Unknown, but probably not present",,"Unknown, but probably not present","Unknown, but probably not present",,"Unknown, but probably not present","Unknown, but probably not present",,"Unknown, but probably not present",Not
Pseudonaja modesta,Not present,Not present,Not present,,Not present,Not present,Possibly present but not clinically significant,Not present or not significant,Possibly present but not clinically significant,Not
Triceratolepidophis sieversorum,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,Probably not present,Probably not present,,Probably not present,Not
Brachyophis revoili,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Elapotinus pictei,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Hypoptophis wilsoni,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Micrelaps bicoloratus,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Micrelaps muelleri,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Micrelaps vaillanti,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Amblyodipsas concolor,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Amblyodipsas dimidiata,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Amblyodipsas katangensis,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Amblyodipsas microphthalma,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Amblyodipsas polylepis,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
Amblyodipsas rodhaini,Probably not present,,Probably not present,Probably not present,,Probably not present,Probably not present,,Probably not present,Not
