snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Bungarus bungaroides,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bungarus candidus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bungarus ceylonicus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bungarus flaviceps,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,,1
Bungarus lividus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bungarus magnimaculatus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bungarus niger,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Bungarus sindanus ( = walli ),Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,1
Calliophis beddomei,,,,,,,,,,1
Calliophis bibroni,,,,,,,,,,1
Calliophis calligaster,,,,,,,,,,1
Calliophis gracilis,,,,,,,,,,1
Hemibungarus japonicus,,,,,,,,,,1
Sinomicrurus kelloggi,,,,,,,,,,1
Sinomicrurus macclellandi,,,,,,,,,,1
Calliophis maculiceps,,,,,,,,,,1
Calliophis melanurus,,,,,,,,,,1
Calliophis nigrescens,,,,,,,,,,1
Hemibungarus sauteri,,,,,,,,,,1
Calliophis bivirgata,,,,,,,,,,1
Calliophis intestinalis,,,,,,,,,,1
Naja kaouthia,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja philippinensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja samarensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja siamensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja sputatrix,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja sumatrana,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Walterinnesia aegyptia,Not present,Not present,Not present,Probably not present,Probably not present,Not present,Postsynaptic neurotoxins,,Not present,1
Eristocophis mcmahoni,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Possibly present,,Possibly present,1
Gloydius blomhoffii,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,1
Gloydius brevicaudus,Possibly present,Probably not present,Possibly present,"Probably present, but not confirmed.",Possibly present,Probably not present,Pre- & Post-synaptic neurotoxins probably present,,Fibrinogenases probably present,1
Gloydius halys,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,Probably not present,Possibly present,,Prothrombin convertors,1
Gloydius himalayanus,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,1
Gloydius saxatilis,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Mixture of procoagulants,1
Gloydius shedaoensis,Probably not present,Probably not present,Possibly present,Possibly present,Probably not present,Possibly present,Possibly present,,Possibly present,1
Gloydius ussuriensis,Probably not present,Probably not present,Zinc metalloproteinase,Possibly present,Possibly present,Probably not present,Possibly present,,Mixture of procoagulants,1
Gloydius monticola,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,1
Gloydius strauchi,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,1
Protobothrops mangshanensis,,,,,,,,,,1
Gloydius intermedius,Probably not present,Probably not present,Possibly present,Possibly present,Possibly present,Probably not present,Possibly present,,Possibly present,1
Aspidelaps lubricus,,,,,,,,,,1
Aspidelaps scutatus,,,,,,,,,,1
Naja annulata,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Naja christyi,Not present,Not present,Not present,Not present,Not present,Not present,Postsynaptic neurotoxins,Not present or not significant,Not present,1
Dendroaspis jamesoni,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,1
Dendroaspis polylepis,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,1
Dendroaspis viridis,Not present,Not present,Not present,Not present,Not present,Not present,Dendrotoxins & fasciculins,Not present or not significant,Not present,1
Elapsoidea chelazziorum,,,,,,,,,,1
Elapsoidea guentherii,,,,,,,,,,1
Elapsoidea laticincta,,,,,,,,,,1
Elapsoidea loveridgei,,,,,,,,,,1
Elapsoidea nigra,,,,,,,,,,1
Elapsoidea semiannulata,,,,,,,,,,1
Elapsoidea sundevallii,,,,,,,,,,1
Homoroselaps lacteus,,,,,,,,,,1
Naja katiensis,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja melanoleuca,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja mossambica,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,1
Naja multifasciata,,,,,,,,,,1
Pseudohaje goldii,,,,,,,,,,1
Adenorhinos barbouri,,,,,,,,,,1
Bitis atropos,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present,Possibly present but not clinically significant,Possibly present but not clinically significant,Possibly present,,Possibly present but not clinically significant,1
Bitis caudalis,,,,Systemic myotoxins present,,,Presynaptic neurotoxins,,,1
Bitis cornuta,,,,,,,,,,1
Bitis heraldica,,,,,,,,,,1
Bitis inornata,,,,,,,,,,1
Bitis nasicornis,,,Probably present,,,,,,,1
Bitis parviocula,,,,,,,,,,1
Bitis peringueyi,,,,,,,,,,1
Bitis schneideri,,,,,,,,,,1
Bitis worthingtoni,,,,,,,,,,1
