snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,class
Ahaetulla nasuta,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Probably not present,Not
Malpolon moilensis,Not present,Not present,Present but not defined,Not present,Not present,Not present,Not present,Not present or not significant,Not present,Not
Bungarus bungaroides,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bungarus candidus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bungarus ceylonicus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bungarus flaviceps,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,,Not
Bungarus lividus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bungarus magnimaculatus,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bungarus niger,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Bungarus sindanus ( = walli ),Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,Not
Calliophis beddomei,,,,,,,,,,Not
Calliophis bibroni,,,,,,,,,,Not
Calliophis calligaster,,,,,,,,,,Not
Calliophis gracilis,,,,,,,,,,Not
Hemibungarus japonicus,,,,,,,,,,Not
Sinomicrurus kelloggi,,,,,,,,,,Not
Sinomicrurus macclellandi,,,,,,,,,,Not
Calliophis maculiceps,,,,,,,,,,Not
Calliophis melanurus,,,,,,,,,,Not
Calliophis nigrescens,,,,,,,,,,Not
Hemibungarus sauteri,,,,,,,,,,Not
Calliophis bivirgata,,,,,,,,,,Not
Calliophis intestinalis,,,,,,,,,,Not
