,snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
0,Rhabdophis subminiatus,"10 to 15 \xc2\xb5l ( liquid volume), Ferlan et al (1983) ( Ref : R000475 ).",Possibly present,Not present,Possibly present,Not present,Not present,Not present,Not present,Not present or not significant,Mixture of procoagulants,,1
1,Rhabdophis tigrinus,"8.5 to 20. 5 mg ( dry weight ), Sakai et al (1983) ( Ref : R000565 ).",Possibly present,Not present,Possibly present,Not present,Not present,Not present,Not present,Not present or not significant,Mixture of procoagulants,,1
2,Malpolon monspessulanus,"0.63 \xc2\xb5l / g  body weight, Rosenberg et al (1985) ( Ref : R000566 ).",Not present,Not present,Present but not defined,Not present,Not present,Not present,Probably not present,Not present or not significant,Not present,,1
3,Ahaetulla nasuta,,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,Probably not present,,Probably not present,,Not
4,Balanophis ceylonensis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
5,Boiga ceylonensis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
6,Boiga dendrophila,"B. d. multicincta : 1.0 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,1
7,Boiga forsteni,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
8,Cerberus rhynchops,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
9,Hemorrhois ravergieri,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
10,Platyceps rhodorachis,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
11,Enhydris enhydris,,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,Non-venomous,,Not
12,Malpolon moilensis,,Not present,Not present,Present but not defined,Not present,Not present,Not present,Not present,Not present or not significant,Not present,,Not
13,Bungarus bungaroides,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
14,Bungarus caeruleus,"8 to 20 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
15,Bungarus candidus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
16,Bungarus ceylonicus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
17,Bungarus fasciatus,"114 mg ( dry weight ), Brown ( 1973 ) ( Ref : R000681 ).",Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
18,Bungarus flaviceps,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,,,Not
19,Bungarus lividus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
20,Bungarus magnimaculatus,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
21,Bungarus multicinctus,"11 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,1
22,Bungarus niger,,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
23,Bungarus sindanus ( = walli ),,Not present,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
24,Calliophis beddomei,,,,,,,,,,,,Not
25,Calliophis bibroni,,,,,,,,,,,,Not
26,Calliophis calligaster,,,,,,,,,,,,Not
27,Calliophis gracilis,,,,,,,,,,,,Not
28,Hemibungarus japonicus,,,,,,,,,,,,Not
29,Sinomicrurus kelloggi,,,,,,,,,,,,Not
30,Sinomicrurus macclellandi,,,,,,,,,,,,Not
31,Calliophis maculiceps,,,,,,,,,,,,Not
32,Calliophis melanurus,,,,,,,,,,,,Not
33,Calliophis nigrescens,,,,,,,,,,,,Not
34,Hemibungarus sauteri,,,,,,,,,,,,Not
35,Calliophis bivirgata,,,,,,,,,,,,Not
36,Calliophis intestinalis,,,,,,,,,,,,Not
37,Naja atra,"79.7 mg ( dry weight ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,1
38,Naja kaouthia,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
39,Naja naja,"169 mg ( dry weight  of milked venom ), Broad et al (1979 ) ( Ref : R000006 ).",Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,"0.565 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ).",1
