snake_sub_family,higher_snake_family,class
Rhabdophis subminiatus,Rhabdophis,1
Rhabdophis tigrinus,Rhabdophis,1
Malpolon monspessulanus,Malpolon,1
Boiga dendrophila,Boiga,1
Bungarus caeruleus,Bungarus,1
Bungarus fasciatus,Bungarus,1
Bungarus multicinctus,Bungarus,1
Naja atra,Naja,1
Naja naja,Naja,1
Naja oxiana,Naja,1
Ophiophagus hannah,Ophiophagus,1
Azemiops feae,Azemiops,1
Daboia russelii,Daboia,1
Daboia siamensis,Daboia,1
Echis carinatus,Echis,1
Pseudocerastes persicus,Pseudocerastes,1
Montivipera latifii,Montivipera,1
Montivipera xanthina,Montivipera,1
Calloselasma rhodostoma,Calloselasma,1
Deinagkistrodon acutus,Deinagkistrodon,1
Ovophis okinavensis,Ovophis,1
Trimeresurus albolabris,Trimeresurus,1
Protobothrops elegans,Protobothrops,1
Protobothrops flavoviridis,Protobothrops,1
Protobothrops mucrosquamatus,Protobothrops,1
Trimeresurus stejnegeri,Trimeresurus,1
Protobothrops tokarensis,Protobothrops,1
Tropidolaemus wagleri,Tropidolaemus,1
Dispholidus typus,Dispholidus,1
Thelotornis capensis,Thelotornis,1
Toxicodryas blandingii,Toxicodryas,1
Atractaspis bibronii,Atractaspis,1
Atractaspis dahomeyensis,Atractaspis,1
Atractaspis microlepidota,Atractaspis,1
Dendroaspis angusticeps,Dendroaspis,1
Hemachatus haemachatus,Hemachatus,1
Naja haje,Naja,1
Naja nigricollis,Naja,1
Naja nivea,Naja,1
Naja pallida,Naja,1
Bitis arietans,Bitis,1
Bitis gabonica,Bitis,1
Cerastes cerastes,Cerastes,1
Daboia palaestinae,Daboia,1
Causus rhombeatus,Causus,1
Micrurus alleni,Micrurus,1
Micrurus corallinus,Micrurus,1
Micrurus dumerilii,Micrurus,1
Micrurus frontalis,Micrurus,1
Micrurus fulvius,Micrurus,1
Micrurus isozonus,Micrurus,1
Micrurus lemniscatus,Micrurus,1
Micrurus mertensi,Micrurus,1
Micrurus mipartitus,Micrurus,1
Micrurus multifasciatus,Micrurus,1
Micrurus nigrocinctus,Micrurus,1
Micrurus spixii,Micrurus,1
Micrurus surinamensis,Micrurus,1
Crotalus ravus,Crotalus,1
Micrurus pyrrhocryptus,Micrurus,1
Lachesis muta,Lachesis,1
Bothriechis schlegelii,Bothriechis,1
Bothrops alternatus,Bothrops,1
Bothrops ammodytoides,Bothrops,1
Bothrops atrox,Bothrops,1
Bothrops cotiara,Bothrops,1
Bothrops erythromelas,Bothrops,1
Bothrops jararaca,Bothrops,1
Bothrops jararacussu,Bothrops,1
Bothrops leucurus,Bothrops,1
Bothrops moojeni,Bothrops,1
Bothrops neuwiedi,Bothrops,1
Crotalus adamanteus,Crotalus,1
Crotalus atrox,Crotalus,1
Crotalus basiliscus,Crotalus,1
Crotalus catalinensis,Crotalus,1
Crotalus durissus,Crotalus,1
Crotalus enyo,Crotalus,1
Crotalus pusillus,Crotalus,1
Crotalus scutulatus,Crotalus,1
Crotalus tigris,Crotalus,1
Crotalus oreganus,Crotalus,1
Crotalus viridis,Crotalus,1
Acanthophis antarcticus,Acanthophis,1
Acanthophis praelongus,Acanthophis,1
Austrelaps superbus,Austrelaps,1
Hoplocephalus bitorquatus,Hoplocephalus,1
Hoplocephalus bungaroides,Hoplocephalus,1
Hoplocephalus stephensii,Hoplocephalus,1
Notechis scutatus,Notechis,1
Oxyuranus microlepidotus,Oxyuranus,1
Pseudechis australis,Pseudechis,1
Pseudechis colletti,Pseudechis,1
Pseudechis guttatus,Pseudechis,1
Pseudechis porphyriacus,Pseudechis,1
Pseudechis papuanus,Pseudechis,1
Pseudonaja guttata,Pseudonaja,1
Pseudonaja inframacula,Pseudonaja,1
Pseudonaja nuchalis,Pseudonaja,1
Pseudonaja textilis,Pseudonaja,1
Cryptophis nigrescens,Cryptophis,1
Tropidechis carinatus,Tropidechis,1
Acalyptophis peronii,Acalyptophis,1
Aipysurus duboisii,Aipysurus,1
Aipysurus eydouxii,Aipysurus,1
Aipysurus foliosquama,Aipysurus,1
Aipysurus laevis,Aipysurus,1
Astrotia stokesii,Astrotia,1
Hydrophis major,Hydrophis,1
Emydocephalus annulatus,Emydocephalus,1
Enhydrina schistosa,Enhydrina,1
Hydrophis brookii,Hydrophis,1
Hydrophis cyanocinctus,Hydrophis,1
Hydrophis elegans,Hydrophis,1
Hydrophis klossi,Hydrophis,1
Hydrophis ornatus,Hydrophis,1
Hydrophis spiralis,Hydrophis,1
Hydrophis jerdonii,Hydrophis,1
Lapemis curtus,Lapemis,1
Lapemis hardwickii,Lapemis,1
Pelamis platurus,Pelamis,1
Laticauda colubrina,Laticauda,1
Laticauda semifasciata,Laticauda,1
Hydrophis melanocephalus,Hydrophis,1
Hydrophis coggeri,Hydrophis,1
Boiga irregularis,Boiga,1
Micrurus altirostris,Micrurus,1
