snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate
 Rhabdophis subminiatus ,"                10 to 15 \xc2\xb5l ( liquid volume), Ferlan et al (1983) ( Ref : R000475 ).",                Possibly present              ,                Not present              ,                Possibly present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present or not significant              ,                Mixture of procoagulants              ,
 Rhabdophis tigrinus ,"                8.5 to 20. 5 mg ( dry weight ), Sakai et al (1983) ( Ref : R000565 ).              ",                Possibly present              ,                Not present              ,                Possibly present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present or not significant              ,                Mixture of procoagulants              ,
 Malpolon monspessulanus ,"                0.63 \xc2\xb5l / g  body weight, Rosenberg et al (1985) ( Ref : R000566 ).",                Not present              ,                Not present              ,                Present but not defined              ,                Not present              ,                Not present              ,                Not present              ,                Probably not present              ,                Not present or not significant              ,                Not present              ,
 Ahaetulla nasuta ,,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Unknown              ,                Probably not present              ,
 Balanophis ceylonensis ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Boiga ceylonensis ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Boiga dendrophila ,"                B. d. multicincta : 1.0 mg ( dry weight ), Weinstein and Smith (1993) ( Ref : R000609 ).",                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Boiga forsteni ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Cerberus rhynchops ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Hemorrhois ravergieri ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Platyceps rhodorachis ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Enhydris enhydris ,,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,                Non-venomous              ,
 Malpolon moilensis ,,                Not present              ,                Not present              ,                Present but not defined              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present or not significant              ,                Not present              ,
 Bungarus bungaroides ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus caeruleus ,"                8 to 20 mg ( dry weight ), U.S. Dept. Navy (1968) ( Ref : R000914 ).",                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus candidus ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus ceylonicus ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus fasciatus ,"                114 mg ( dry weight ), Brown ( 1973 ) ( Ref : R000681 ).",                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus flaviceps ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Unknown              ,
 Bungarus lividus ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus magnimaculatus ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus multicinctus ,"                11 mg  ( dry weight ), Sawai (1976) ( Ref : R000769 ).",                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus niger ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Bungarus sindanus ( = walli ) ,,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Not present              ,                Pre- & Post-synaptic neurotoxins              ,                Not present or not significant              ,                Not present              ,
 Calliophis beddomei ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis bibroni ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis calligaster ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis gracilis ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Hemibungarus japonicus ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Sinomicrurus kelloggi ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Sinomicrurus macclellandi ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis maculiceps ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis melanurus ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis nigrescens ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Hemibungarus sauteri ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis bivirgata ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Calliophis intestinalis ,,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,
 Naja atra ,"                79.7 mg ( dry weight ), Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).",                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja kaouthia ,,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja naja ,"                169 mg ( dry weight  of milked venom ), Broad et al (1979 ) ( Ref : R000006 ).",                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,"                0.565 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ).              "
 Naja oxiana ,"                Iran : 87 \xc2\xb1 25 mg ( n=6091 ) ( dry weight of milked venom ), Latifi (1984) ( Ref : R000482 ).",                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja philippinensis ,,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja samarensis ,,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja siamensis ,,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja sputatrix ,,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Naja sumatrana ,,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Present but not defined              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Not present or not significant              ,                Probably not present              ,
 Ophiophagus hannah ,"                421 mg ( dry weight  of milked venom ), Broad et al (1979). ( Ref : R000006 ).",                Probably not present              ,                Primary cardiotoxin              ,                Probably not present              ,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Postsynaptic neurotoxins              ,                Unknown              ,                Probably not present              ,"                1.80 mg / kg  sc ( mice ), Broad et al (1979) ( Ref : R000006 ) in Gopalakrishnakone and Chou (1990) ( Ref : R000004 ).              "
 Walterinnesia aegyptia ,,                Not present              ,                Not present              ,                Not present              ,                Probably not present              ,                Probably not present              ,                Not present              ,                Postsynaptic neurotoxins              ,                Unknown              ,                Not present              ,
 Azemiops feae ,"                Up to 1.75 mg / snake ( wet weight ), Vest (1986) ( Ref : R000517 ).              ",                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Unknown              ,                Possibly present              ,                Unknown              ,                Unknown              ,
 Cerastes gasperettii ,,                Probably not present              ,                Probably not present              ,                Possibly present              ,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Probably not present              ,                Unknown              ,                Mixture of procoagulants              ,
