Break In Period,Car Age Inception,Claim Freq,Claim loss_reported_period,Claim occ_cycle,Manufacturer,RTO City,Policy Type,Marital Status,OCCUPATION,CITY,Facility Name,Ageny Num,Surveyor,Type Of Payment,Geography,IDV Value,Claim Element,Claim Created Date,Claim Status
2,7,9,66,80,Day-Shelton,Lake Johnview, Our own renewals,NOT KNOWN,Insurance broker,Stephanieview,Shaw and Sons,4089194,James Hunt,,East Terri,274920,PARTIAL LOSS,2/22/2019 20:52, Rejected
3,6,7,87,84,Dennis LLC,Heidiburgh, NCB Transfer,NOT KNOWN,Pharmacologist,Juanberg,Jones PLC,58746732,Jason Jones,REIMBURSEMENT,Timothymouth,283000, NET OF SALVAGE,10/21/2018 8:20, Rejected
9,6,2,53,51,"Smith, Waters and Adams",East Linda, Our own renewals,NOT KNOWN,"Engineer, maintenance",Port Rachel,Campbell-Greene,88078634,Michael Zuniga,,Sarahborough,283000, OWNER DRIVER:BODY INJURY,1/16/2019 7:45, Rejected
9,6,7,47,95,"Pierce, Smith and Reynolds",Newtonfurt,MTHF Renewal,NOT KNOWN,Electrical engineer,North Michaelburgh,"Banks, Collins and Miller",51769445,Kimberly Paul,,Tammyland,260040, OWNER DRIVER:DEATH,12/14/2018 1:15, Rejected
6,3,2,99,58,Phillips PLC,Michaelburgh, Our own renewals,NOT KNOWN,Medical sales representative,Margaretfurt,Perkins-Manning,68919640,Carol Lane,CASHLESS,Port Christine,318840, OWNER DRIVER:DEATH,12/3/2018 4:11,Accepted
1,1,0,2,14,Harris-Hernandez,Knightfurt, New vehicle without NCB,NOT KNOWN,Data scientist,East Cameronshire,Gonzalez Ltd,80232757,Dale Baker,CASHLESS,Port Debrafort,523400, NET OF SALVAGE,1/30/2019 19:16,Accepted
6,3,1,50,77,Strickland-Riddle,South Coryview,MTHF Renewal,NOT KNOWN,Banker,Justinshire,Wilson PLC,82592610,Michael Whitehead,CASHLESS,Lesliemouth,391757, OWNER DRIVER:BODY INJURY,10/26/2018 17:00, Rejected
2,2,2,53,73,Hamilton Group,Rojaston, New vehicle without NCB,NOT KNOWN,Information officer,West Whitneystad,Glover Inc,1316610,Tamara Mason,CASHLESS,Boydland,662973, OWNER DRIVER:DEATH,1/4/2019 20:50,Accepted
4,6,3,10,84,Porter and Sons,Michaelburgh, New vehicle without NCB,NOT KNOWN,Conference centre manager,Randallville,Grant-Bernard,21104997,Jeffrey Avila,REIMBURSEMENT,Rachelland,144400, NET OF SALVAGE,10/11/2018 23:41, Rejected
4,6,8,87,82,Freeman and Sons,Saraville, NCB Transfer,NOT KNOWN,Proofreader,Alishahaven,Wiggins PLC,57703965,Melissa Olson,,Juarezborough,472500, NET OF SALVAGE,2/28/2019 21:56, Rejected
2,3,7,5,78,"Rivera, Torres and Fox",North Cathyville, New vehicle without NCB,NOT KNOWN,"Copywriter, advertising",Staceyland,"Smith, Smith and Ross",53879690,Christopher Strickland,CASHLESS,Gonzaleston,2238250, OWNER DRIVER:BODY INJURY,12/5/2018 7:35, Rejected
1,3,0,35,14,Lawson Ltd,Tuckerfort, New vehicle without NCB,NOT KNOWN,Patent examiner,Masonfurt,Velazquez-Clark,67301258,Francis Graves,,Bradleymouth,2238250, OWNER DRIVER:BODY INJURY,1/7/2019 7:04, Rejected
0,5,6,8,37,Williams Group,East Margaret, Our own renewals,NOT KNOWN,Social researcher,Lake Larrymouth,"Wiggins, Nichols and Mueller",73204122,Terry Stuart,CASHLESS,Schmidtport,300980, OWNER DRIVER:BODY INJURY,11/2/2018 2:42, Rejected
0,0,3,43,24,Moreno-Bailey,Port Georgeville, NCB Transfer,NOT KNOWN,"Engineer, site",New Jameston,"Ramirez, Smith and Woods",59026109,Matthew Mendez,CASHLESS,Sarahshire,368365,PARTIAL LOSS,3/22/2019 6:29, Rejected
6,5,8,1,26,Morgan and Sons,Michelleton, Our own renewals,NOT KNOWN,"Copywriter, advertising",Lutztown,"Frey, Page and Woods",44306536,Theresa Guerrero,REIMBURSEMENT,West Denise,383826, NET OF SALVAGE,1/8/2019 15:45,Accepted
2,1,3,9,21,King-Hicks,Port Melindahaven,MTHF Renewal,NOT KNOWN,Plant breeder/geneticist,New Jesus,Fletcher Group,88859203,Cathy Elliott,CASHLESS,West Amyton,564758, NET OF SALVAGE,12/7/2018 10:57,Accepted
6,2,5,80,73,"Mclean, Price and Mack",South Shannontown, NCB Transfer,NOT KNOWN,Agricultural engineer,Cookside,"Miles, Marshall and Henderson",49815164,Suzanne Thompson,,South Sabrinafurt,487580,PARTIAL LOSS,1/28/2019 10:19, Rejected
2,2,6,10,61,Neal Ltd,Fowlerside,MTHF Renewal,NOT KNOWN,"Producer, television/film/video",East Migueltown,Harrison and Sons,50468189,Andrew Newman,CASHLESS,East Jamie,257287,PARTIAL LOSS,11/8/2018 13:59,Accepted
3,3,0,23,92,Hull-Greer,North Cheryl, Our own renewals,NOT KNOWN,Leisure centre manager,South Hannahfort,Brown-Robbins,54135681,Mr. Keith Stephens Jr.,CASHLESS,Leahhaven,303854, OWNER DRIVER:BODY INJURY,12/31/2018 3:06, Rejected
1,5,2,8,13,Dunn-Garcia,West Jacqueline, Our own renewals,NOT KNOWN,Corporate treasurer,Kimberlyton,Marshall-Williams,12730718,Joanne Mendez,CASHLESS,Lopezport,751726, OWNER DRIVER:BODY INJURY,2/23/2019 23:51, Rejected
5,1,8,69,62,"Mack, Gray and Smith",Wandaton, Our own renewals,NOT KNOWN,Architect,South Jonathan,Page-Robinson,95479890,Cody Knight,CASHLESS,Baileyborough,898518, OWNER DRIVER:DEATH,3/25/2019 11:07,Accepted
5,1,9,63,98,Contreras-Vargas,Port Amandamouth,MTHF Renewal,NOT KNOWN,Dispensing optician,Chenside,Palmer-Gonzales,14380188,Ashley Cruz,CASHLESS,West Allenborough,615970, OWNER DRIVER:BODY INJURY,10/24/2018 7:18,Accepted
0,4,1,97,50,Graham-Davis,Stephaniestad, NCB Transfer,NOT KNOWN,Publishing rights manager,Kimside,Wall-Phillips,80544408,Megan Dixon,CASHLESS,Greerhaven,332679, OWNER DRIVER:BODY INJURY,1/16/2019 16:13,Accepted
4,2,3,45,90,Mendez-Williams,New Charles,MTHF Renewal,NOT KNOWN,Industrial/product designer,Simpsonmouth,Montgomery-Ward,66146013,Michael Foster,,Woodstown,630000, OWNER DRIVER:DEATH,2/16/2019 7:34, Rejected
3,1,7,46,88,"Grimes, Nguyen and Reyes",Selenaport, NCB Transfer,NOT KNOWN,Chief Financial Officer,Rhondamouth,"Camacho, Simpson and Crawford",92507112,Cynthia Mckee,CASHLESS,South Rickyview,1035445, OWNER DRIVER:BODY INJURY,2/12/2019 14:46, Rejected
0,6,5,21,0,Gomez Group,Fisherburgh, Our own renewals,NOT KNOWN,Housing manager/officer,Patrickland,Forbes-Cortez,75491068,John Boyd,CASHLESS,Banksfurt,315863, OWNER DRIVER:BODY INJURY,11/28/2018 16:35,Accepted
1,7,1,65,71,Turner Group,Port Thomas, NCB Transfer,NOT KNOWN,"Engineer, production",Elizabethbury,White-Simon,53429083,Alicia Cruz,,Nicholasborough,140226, NET OF SALVAGE,10/16/2018 1:05, Rejected
3,5,6,70,90,"Robinson, Ritter and Jones",Gomezstad, Our own renewals,NOT KNOWN,Ambulance person,Palmermouth,Holland Inc,38264345,Tracy Garcia,CASHLESS,Wadeview,155997,PARTIAL LOSS,1/25/2019 0:12,Accepted
8,1,3,6,27,Griffin-Spencer,Sarahfort,MTHF Renewal,NOT KNOWN,"Copywriter, advertising",North Ashleyville,Mayo Ltd,42115846,Megan Rogers,CASHLESS,Hillchester,325652, OWNER DRIVER:DEATH,10/11/2018 16:55, Rejected
4,1,6,70,42,Johnson and Sons,Hatfieldchester, New vehicle without NCB,NOT KNOWN,Quarry manager,Robertsonville,Molina LLC,99525765,Jon Cruz,CASHLESS,Hineston,900000, OWNER DRIVER:BODY INJURY,1/28/2019 20:56,Accepted
