pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,class
69,541,440,293,1,0,223,0,0.111,10.12,0.5,0.944,0.556,0,0,0.107055,334.596802,r
9,783,803,76,1,0,101,0,0,19.82,1.99,0.889,0.222,0,0,0.0074,2137.979248,r
390,1200,925,103,1,0,723,0,0,11.54,0.76,1,2.389,0,0,0.221954,96.244957,r
138,1100,1000,40,1,0,24,0.166667,0.167,20.440001,1.61,0.833,0.111,0,0,0.025055,226.622437,r
1,228,487,84,1,0,30,0,0,9.21,1.75,1,0,0,0,0,0,r
17,358,298,374,1,0,122,0,0.176,20.51,1.2,0.824,0.824,0,0,0.029504,1249.813965,r
25,1100,1400,16,1,0,68,0,0.111,9.12,0.71,0.778,0.667,0,0.056,0.013411,1088.083862,r
77,259,2800,15,1,0,9,0.5,0,13.73,0.86,0.833,0,0,0,0.235294,159.321838,r
16,157,226,233,1,0,10,0.125,0,24.92,1.27,0.875,0,0,0.063,0,1160.96582,r
195,717,475,118,1,0,14,0.444444,0.056,9.95,0.96,0.944,0.111,0,0,0.191383,847.155212,r
141,340,719,88,1,0,117,0,0.333,14.3,0.49,0.944,0.778,0,0.111,0.044052,134.655273,r
7,1000,791,0,1,0,24,0.142857,0.286,31.059999,1.67,0.857,0.286,0,0,0,3158.658203,r
16,878,1100,0,1,0,79,0.3125,0.313,15.06,0.56,0.688,0.625,0,0,0.105214,808.393127,r
73,970,1500,158,1,0,75,0.055556,0.333,21.35,0.98,0.889,0.889,0,0,0.032617,806.203491,r
234,538,497,34,1,0,172,0,0,7.21,0.78,0.833,0.778,0.056,0,0.060837,215.642792,r
11,47,154,137,1,0,134,0.090909,0,18.57,1.93,0.727,1,0,0,0.151682,27.642677,r
4,97,150,0,1,0,8,0.5,0,33.509998,4.9,0.75,0.5,0,0,0.166667,2556.884522,r
3,168,363,59,1,0,10,0,0,16.27,1.79,1,0,0,0,0,1277.392944,r
77,318,293,88,1,0,39,0.055556,0.222,22.379999,0.8,0.889,0.389,0,0,0.006424,931.86908,r
288,746,615,0,1,0,324,0,0.278,14.71,1.55,0.833,0.611,0,0.111,0.157639,225.228531,r
1,22,117,0,1,0,0,1,0,59.09,4.55,1,0,0,0,0,0,r
46,902,1700,223,1,0,84,0,0.111,18.34,0.83,0.778,1.611,0,0,0.056325,328.887329,r
26,38,430,149,1,0,52,0,0,17.84,0.58,1,0.944,0,0,0.202514,35.159443,r
306,1200,1600,75,1,0,32,0.277778,0,7.89,0.79,0.889,0.389,0,0,0.0672,399.424286,r
140,224,520,172,1,0,226,0,0.389,16.200001,1.49,0.944,3.111,0,0,0.347975,310.717529,r
13,136,640,78,1,0,28,0.230769,0,20.48,1.07,0.769,0,0,0,0.054512,240.942993,r
33,42,323,147,1,0,290,0,0,36.77,3.44,0.778,0.167,0.056,0,0.247181,57.806065,r
2,210,320,14,1,0,13,0,0,22.379999,5.24,1,0,0,0,0,10.912917,r
20,548,2200,12,1,0,32,0.055556,0.222,7.26,0.57,0.667,0.222,0,0,0.023521,1894.900513,r
10,548,938,166,1,0,127,0,0.1,11.92,0.77,0.9,4.8,0,0,0.022369,3063.096924,r
60,170,325,130,1,0,24,0.444444,0.111,7.09,0.59,0.667,0,0,0,0.186438,309.492279,r
109,311,790,26,1,0,45,0,0.333,16.860001,0.54,0.722,2.167,0,0,0.020233,950.672791,r
3,785,482,65,1,0,33,0,0,26.75,1.19,0.667,0.667,0,0,0,2345.145996,r
11,1500,595,167,1,0,72,0,0,17.4,1.11,0.8,0.3,0,0,0.12163,2354.73877,r
82,691,1300,57,1,0,36,0,0,13.43,0.76,0.833,0.222,0,0,0.013051,471.680786,r
111,958,575,31,1,0,22,0.222222,0,10.21,0.48,1,0.611,0,0,0.036667,696.821716,r
34,427,539,24,1,0,15,0.444444,0,29.549999,0.49,0.833,0.056,0,0,0.137255,337.313873,r
