,appName,pkgName,eventType,eventFlag,className,datetime,timestamp
0,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 07:55:40,1614565540472
1,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 07:55:44,1614565543608
2,Google Play Store,com.android.vending,1,ACTIVITY_RESUMED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:55:44,1614565543609
3,Google Play Store,com.android.vending,2,ACTIVITY_PAUSED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:05,1614565564561
4,Google Play Store,com.android.vending,1,ACTIVITY_RESUMED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:05,1614565564562
5,Google Play Store,com.android.vending,1,ACTIVITY_RESUMED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:05,1614565564741
6,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 07:56:15,1614565575355
7,Google Play Store,com.android.vending,2,ACTIVITY_PAUSED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:15,1614565575375
8,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 07:56:16,1614565576077
9,Google Play Store,com.android.vending,1,ACTIVITY_RESUMED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:16,1614565576078
10,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 07:56:39,1614565599361
11,Google Play Store,com.android.vending,2,ACTIVITY_PAUSED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:39,1614565599374
12,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 07:56:41,1614565600656
13,Google Play Store,com.android.vending,1,ACTIVITY_RESUMED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:41,1614565600658
14,POCO Launcher,com.mi.android.globallauncher,1,ACTIVITY_RESUMED,com.miui.home.launcher.Launcher,01-03-2021 07:56:41,1614565601296
15,Google Play Store,com.android.vending,2,ACTIVITY_PAUSED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:56:41,1614565601312
16,POCO Launcher,com.mi.android.globallauncher,2,ACTIVITY_PAUSED,com.miui.home.launcher.Launcher,01-03-2021 07:56:43,1614565603146
17,File Manager,com.mi.android.globalFileexplorer,1,ACTIVITY_RESUMED,com.android.fileexplorer.FileExplorerTabActivity,01-03-2021 07:56:43,1614565603260
18,null,com.android.systemui,1,ACTIVITY_RESUMED,com.android.systemui.recents.RecentsActivity,01-03-2021 07:57:10,1614565629628
19,File Manager,com.mi.android.globalFileexplorer,2,ACTIVITY_PAUSED,com.android.fileexplorer.FileExplorerTabActivity,01-03-2021 07:57:10,1614565629645
20,null,com.android.systemui,2,ACTIVITY_PAUSED,com.android.systemui.recents.RecentsActivity,01-03-2021 07:57:11,1614565630867
21,Google Play Store,com.android.vending,1,ACTIVITY_RESUMED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:57:11,1614565630893
22,Google Play Store,com.android.vending,2,ACTIVITY_PAUSED,com.google.android.finsky.activities.MainActivity,01-03-2021 07:57:26,1614565646270
