week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,ARG,https://flixpatrol.com/title/the-emoji-movie,AME
37,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,ARG,https://flixpatrol.com/title/cobra-kai,AME
36,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,ARG,https://flixpatrol.com/title/the-emoji-movie,AME
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,ARG,https://flixpatrol.com/title/cobra-kai,AME
35,Movie,The Crimes That Bind,Argentina,Crime,2020-08-20,False,43%,,ARG,https://flixpatrol.com/title/the-crimes-that-bind,AME
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,ARG,https://flixpatrol.com/title/lucifer,AME
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,ARG,https://flixpatrol.com/title/project-power,AME
34,TV Show,The Great Heist,,,2020-08-14,False,,,ARG,https://flixpatrol.com/title/the-great-heist,AME
33,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,ARG,https://flixpatrol.com/title/wonder,AME
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,ARG,https://flixpatrol.com/title/locked-up,AME
32,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,ARG,https://flixpatrol.com/title/wonder,AME
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,ARG,https://flixpatrol.com/title/locked-up,AME
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,ARG,https://flixpatrol.com/title/the-kissing-booth-2,AME
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,ARG,https://flixpatrol.com/title/dark-desire,AME
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,ARG,https://flixpatrol.com/title/milf-2018,AME
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,ARG,https://flixpatrol.com/title/dark-desire,AME
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,ARG,https://flixpatrol.com/title/the-old-guard,AME
29,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,ARG,https://flixpatrol.com/title/dark-desire,AME
28,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,ARG,https://flixpatrol.com/title/american-assassin,AME
28,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,ARG,https://flixpatrol.com/title/dark-2017,AME
27,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,ARG,https://flixpatrol.com/title/american-assassin,AME
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,ARG,https://flixpatrol.com/title/dark-2017,AME
26,Movie,Lost Bullet,France,Crime,2020-06-19,True,62%,,ARG,https://flixpatrol.com/title/lost-bullet,AME
26,TV Show,The Sinner,USA,Crime,2017-08-02,True,80%,90%,ARG,https://flixpatrol.com/title/the-sinner,AME
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,ARG,https://flixpatrol.com/title/365-days,AME
25,TV Show,The Woods,USA,Crime,2020-06-12,True,65%,,ARG,https://flixpatrol.com/title/the-woods-2020,AME
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,ARG,https://flixpatrol.com/title/365-days,AME
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,ARG,https://flixpatrol.com/title/13-reasons-why,AME
23,Movie,Intuition,Argentina,Crime,2020-05-28,True,59%,,ARG,https://flixpatrol.com/title/intuition,AME
23,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,ARG,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,AME
22,Movie,Intuition,Argentina,Crime,2020-05-28,True,59%,,ARG,https://flixpatrol.com/title/intuition,AME
22,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61%,64%,ARG,https://flixpatrol.com/title/white-lines,AME
21,Movie,Going in Style,USA,Comedy,2017-04-06,False,68%,49%,ARG,https://flixpatrol.com/title/going-in-style,AME
21,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61%,64%,ARG,https://flixpatrol.com/title/white-lines,AME
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,ARG,https://flixpatrol.com/title/the-wrong-missy,AME
20,TV Show,Valeria,Spain,Drama,2020-05-08,True,58%,,ARG,https://flixpatrol.com/title/valeria,AME
19,Movie,Space Jam,USA,Comedy,1996-11-15,False,63%,38%,ARG,https://flixpatrol.com/title/space-jam,AME
19,TV Show,Almost Happy,Argentina,Comedy,2020-05-01,True,70%,,ARG,https://flixpatrol.com/title/almost-happy,AME
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,ARG,https://flixpatrol.com/title/extraction-2020,AME
