week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Sing,USA,Animated,2016-12-21,False,73%,47%,BEL,https://flixpatrol.com/title/sing,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,BEL,https://flixpatrol.com/title/away-2020,EUR
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,BEL,https://flixpatrol.com/title/santana,EUR
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,BEL,https://flixpatrol.com/title/lucifer,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,BEL,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,BEL,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,BEL,https://flixpatrol.com/title/project-power,EUR
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,BEL,https://flixpatrol.com/title/the-umbrella-academy,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,BEL,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,BEL,https://flixpatrol.com/title/the-umbrella-academy,EUR
32,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,BEL,https://flixpatrol.com/title/the-kissing-booth-2,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,BEL,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,BEL,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,BEL,https://flixpatrol.com/title/cursed-2020,EUR
30,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,BEL,https://flixpatrol.com/title/the-old-guard,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,BEL,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,BEL,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,BEL,https://flixpatrol.com/title/warrior-nun,EUR
28,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,BEL,https://flixpatrol.com/title/365-days,EUR
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,BEL,https://flixpatrol.com/title/warrior-nun,EUR
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,BEL,https://flixpatrol.com/title/365-days,EUR
27,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,BEL,https://flixpatrol.com/title/warrior-nun,EUR
26,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,BEL,https://flixpatrol.com/title/365-days,EUR
26,TV Show,The Order,USA,Fantasy,2019-03-07,True,69%,100%,BEL,https://flixpatrol.com/title/the-order-2019,EUR
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,BEL,https://flixpatrol.com/title/365-days,EUR
25,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,BEL,https://flixpatrol.com/title/13-reasons-why,EUR
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,BEL,https://flixpatrol.com/title/365-days,EUR
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,BEL,https://flixpatrol.com/title/13-reasons-why,EUR
23,Movie,The Tuxedo,USA,Comedy,2002-09-27,False,53%,22%,BEL,https://flixpatrol.com/title/the-tuxedo,EUR
23,TV Show,Space Force,USA,Comedy,2020-05-29,True,70%,41%,BEL,https://flixpatrol.com/title/space-force,EUR
22,Movie,Ted,USA,Comedy,2012-06-29,False,70%,41%,BEL,https://flixpatrol.com/title/ted,EUR
22,TV Show,Dynasty,USA,Drama,2017-10-11,True,59%,80%,BEL,https://flixpatrol.com/title/dynasty-2017,EUR
21,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,BEL,https://flixpatrol.com/title/the-wrong-missy,EUR
21,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61%,64%,BEL,https://flixpatrol.com/title/white-lines,EUR
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,BEL,https://flixpatrol.com/title/the-wrong-missy,EUR
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,BEL,https://flixpatrol.com/title/the-last-dance,EUR
19,Movie,Dangerous Lies,USA,Thriller,2020-04-30,True,57%,41%,BEL,https://flixpatrol.com/title/dangerous-lies,EUR
19,TV Show,Into the Night,Belgium,Science Fiction,2020-05-01,True,72%,76%,BEL,https://flixpatrol.com/title/into-the-night-2020,EUR
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,BEL,https://flixpatrol.com/title/extraction-2020,EUR
18,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78%,98%,BEL,https://flixpatrol.com/title/never-have-i-ever,EUR
17,Movie,Despicable Me 2,USA,Animated,2013-06-25,False,74%,73%,BEL,https://flixpatrol.com/title/despicable-me-2,EUR
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42%,37%,BEL,https://flixpatrol.com/title/too-hot-to-handle,EUR
16,Movie,Central Intelligence,USA,Action,2016-06-15,False,64%,69%,BEL,https://flixpatrol.com/title/central-intelligence,EUR
16,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,BEL,https://flixpatrol.com/title/money-heist,EUR
15,Documentary,Money Heist: The Phenomenon,Spain,Documentary,2020-04-03,True,78%,,BEL,https://flixpatrol.com/title/money-heist-the-phenomenon,EUR
15,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,BEL,https://flixpatrol.com/title/money-heist,EUR
14,Movie,Miracle in Cell No. 7,Turkey,Drama,2019-10-10,False,83%,,BEL,https://flixpatrol.com/title/miracle-in-cell-no-7,EUR
14,TV Show,Toy Boy,Spain,Crime,2019-09-07,True,65%,,BEL,https://flixpatrol.com/title/toy-boy-2019,EUR
13,Movie,The Platform,Spain,Science Fiction,2020-03-20,True,73%,,BEL,https://flixpatrol.com/title/the-platform,EUR
13,TV Show,Elite,Spain,Crime,2018-10-05,True,76%,97%,BEL,https://flixpatrol.com/title/elite,EUR
