week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,COL,https://flixpatrol.com/title/the-emoji-movie,AME
37,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,COL,https://flixpatrol.com/title/santana,AME
36,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
35,Movie,Escape Plan,USA,Action,2013-11-13,False,68%,49%,COL,https://flixpatrol.com/title/escape-plan,AME
35,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,COL,https://flixpatrol.com/title/project-power,AME
34,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
33,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,COL,https://flixpatrol.com/title/wonder,AME
33,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
32,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,COL,https://flixpatrol.com/title/wonder,AME
32,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,COL,https://flixpatrol.com/title/the-kissing-booth-2,AME
31,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,COL,https://flixpatrol.com/title/milf-2018,AME
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,COL,https://flixpatrol.com/title/dark-desire,AME
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,COL,https://flixpatrol.com/title/the-old-guard,AME
29,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
28,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,COL,https://flixpatrol.com/title/american-assassin,AME
28,TV Show,Pasión de gavilanes,Colombia,Drama,2003-07-06,False,82%,,COL,https://flixpatrol.com/title/the-elizondo-sisters-go-on-the-defense,AME
27,Movie,Baby Driver,USA,Action,2017-06-28,False,78%,92%,COL,https://flixpatrol.com/title/baby-driver,AME
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,COL,https://flixpatrol.com/title/dark-2017,AME
26,Movie,Feel the Beat,USA,Comedy,2020-06-19,True,64%,46%,COL,https://flixpatrol.com/title/feel-the-beat-2020,AME
26,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,COL,https://flixpatrol.com/title/dark-2017,AME
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,COL,https://flixpatrol.com/title/365-days,AME
25,TV Show,"Pablo Escobar, The Drug Lord",Colombia,Crime,2012-05-28,False,86%,,COL,https://flixpatrol.com/title/pablo-escobar-the-drug-lord,AME
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,COL,https://flixpatrol.com/title/365-days,AME
24,TV Show,"Pablo Escobar, The Drug Lord",Colombia,Crime,2012-05-28,False,86%,,COL,https://flixpatrol.com/title/pablo-escobar-the-drug-lord,AME
23,Movie,Grown Ups,USA,Comedy,2010-06-24,False,60%,10%,COL,https://flixpatrol.com/title/grown-ups,AME
23,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,COL,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,AME
22,Movie,Going in Style,USA,Comedy,2017-04-06,False,68%,49%,COL,https://flixpatrol.com/title/going-in-style,AME
22,TV Show,Control Z,Mexico,Drama,2020-05-22,True,70%,67%,COL,https://flixpatrol.com/title/control-z,AME
21,Movie,Going in Style,USA,Comedy,2017-04-06,False,68%,49%,COL,https://flixpatrol.com/title/going-in-style,AME
21,TV Show,The Unremarkable Juanquini,Colombia,Comedy,2020-05-15,True,,,COL,https://flixpatrol.com/title/the-unremarkable-juanquini,AME
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,COL,https://flixpatrol.com/title/the-wrong-missy,AME
20,TV Show,"Pablo Escobar, The Drug Lord",Colombia,Crime,2012-05-28,False,86%,,COL,https://flixpatrol.com/title/pablo-escobar-the-drug-lord,AME
19,Movie,Death Can Wait,Colombia,Comedy,2020-01-01,False,,,COL,https://flixpatrol.com/title/death-can-wait,AME
19,TV Show,"Pablo Escobar, The Drug Lord",Colombia,Crime,2012-05-28,False,86%,,COL,https://flixpatrol.com/title/pablo-escobar-the-drug-lord,AME
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,COL,https://flixpatrol.com/title/extraction-2020,AME
18,Documentary TV,Matchday: Inside FC Barcelona,Spain,,2019-11-12,False,86%,,COL,https://flixpatrol.com/title/matchday-inside-fc-barcelona,AME
17,Movie,Focus,USA,Crime,2015-02-27,False,66%,56%,COL,https://flixpatrol.com/title/focus,AME
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42%,37%,COL,https://flixpatrol.com/title/too-hot-to-handle,AME
16,Movie,Focus,USA,Crime,2015-02-27,False,66%,56%,COL,https://flixpatrol.com/title/focus,AME
16,TV Show,The End of Paradise,USA,Crime,2019-08-13,False,57%,,COL,https://flixpatrol.com/title/the-end-of-paradise,AME
15,Movie,Sniper: Ultimate Kill,USA,Action,2017-10-03,False,56%,,COL,https://flixpatrol.com/title/sniper-ultimate-kill,AME
15,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,COL,https://flixpatrol.com/title/money-heist,AME
14,Documentary,Money Heist: The Phenomenon,Spain,Documentary,2020-04-03,True,78%,,COL,https://flixpatrol.com/title/money-heist-the-phenomenon,AME
14,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,COL,https://flixpatrol.com/title/money-heist,AME
