week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,CYP,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,CYP,https://flixpatrol.com/title/cobra-kai,EUR
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,CYP,https://flixpatrol.com/title/santana,EUR
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,CYP,https://flixpatrol.com/title/cobra-kai,EUR
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55%,80%,CYP,https://flixpatrol.com/title/the-sleepover,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,CYP,https://flixpatrol.com/title/lucifer,EUR
34,Movie,What Men Want,Czech Republic,Comedy,2018-09-20,False,72%,,CYP,https://flixpatrol.com/title/what-men-want,EUR
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,CYP,https://flixpatrol.com/title/the-umbrella-academy,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,CYP,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,CYP,https://flixpatrol.com/title/locked-up,EUR
32,Movie,Malibu Rescue: The Next Wave,USA,Comedy,2020-08-04,True,59%,,CYP,https://flixpatrol.com/title/malibu-rescue-the-next-wave,EUR
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,CYP,https://flixpatrol.com/title/locked-up,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,CYP,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,CYP,https://flixpatrol.com/title/dark-desire,EUR
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,CYP,https://flixpatrol.com/title/milf-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,CYP,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,CYP,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,CYP,https://flixpatrol.com/title/warrior-nun,EUR
28,Movie,Desperados,USA,Comedy,2020-07-03,True,51%,15%,CYP,https://flixpatrol.com/title/desperados-2020,EUR
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,CYP,https://flixpatrol.com/title/warrior-nun,EUR
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,CYP,https://flixpatrol.com/title/365-days,EUR
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,CYP,https://flixpatrol.com/title/dark-2017,EUR
26,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,CYP,https://flixpatrol.com/title/venom-2018,EUR
