week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"A Million Ways to Die in the West",USA,Comedy,2014-05-30,False,61%,33%,DNK,https://flixpatrol.com/title/a-million-ways-to-die-in-the-west,EUR
37,TV Show,Young Wallander,Sweden,Crime,2020-09-03,True,69%,,DNK,https://flixpatrol.com/title/young-wallander,EUR
36,Movie,Joker,USA,Superhero,2019-10-02,False,89%,68%,DNK,https://flixpatrol.com/title/joker-2019,EUR
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,DNK,https://flixpatrol.com/title/cobra-kai,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,DNK,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,DNK,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,DNK,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Brooklyn Nine-Nine,USA,Comedy,2013-09-17,False,83%,97%,DNK,https://flixpatrol.com/title/brooklyn-nine-nine,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,DNK,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,Brooklyn Nine-Nine,USA,Comedy,2013-09-17,False,83%,97%,DNK,https://flixpatrol.com/title/brooklyn-nine-nine,EUR
32,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,DNK,https://flixpatrol.com/title/work-it-2020,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,DNK,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,DNK,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,DNK,https://flixpatrol.com/title/modern-family,EUR
30,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,DNK,https://flixpatrol.com/title/venom-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,DNK,https://flixpatrol.com/title/cursed-2020,EUR
