week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,DOM,https://flixpatrol.com/title/the-emoji-movie,AME
37,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,DOM,https://flixpatrol.com/title/lucifer,AME
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,DOM,https://flixpatrol.com/title/santana,AME
36,TV Show,Her Mother's Killer,,,2020-01-01,False,,,DOM,https://flixpatrol.com/title/her-mothers-killer,AME
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55%,80%,DOM,https://flixpatrol.com/title/the-sleepover,AME
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,DOM,https://flixpatrol.com/title/lucifer,AME
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,DOM,https://flixpatrol.com/title/project-power,AME
34,TV Show,The Great Heist,,,2020-08-14,False,,,DOM,https://flixpatrol.com/title/the-great-heist,AME
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,DOM,https://flixpatrol.com/title/work-it-2020,AME
33,TV Show,The Seven Deadly Sins,Japan,Animation,2014-10-05,True,82%,,DOM,https://flixpatrol.com/title/the-seven-deadly-sins,AME
32,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,DOM,https://flixpatrol.com/title/wonder,AME
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,DOM,https://flixpatrol.com/title/locked-up,AME
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,DOM,https://flixpatrol.com/title/the-kissing-booth-2,AME
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,DOM,https://flixpatrol.com/title/dark-desire,AME
30,Movie,Parker,USA,Crime,2013-01-25,False,62%,40%,DOM,https://flixpatrol.com/title/parker,AME
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,DOM,https://flixpatrol.com/title/dark-desire,AME
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,DOM,https://flixpatrol.com/title/the-old-guard,AME
29,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,DOM,https://flixpatrol.com/title/dark-desire,AME
28,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,DOM,https://flixpatrol.com/title/american-assassin,AME
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,DOM,https://flixpatrol.com/title/warrior-nun,AME
27,Movie,Baby Driver,USA,Action,2017-06-28,False,78%,92%,DOM,https://flixpatrol.com/title/baby-driver,AME
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,DOM,https://flixpatrol.com/title/dark-2017,AME
26,Movie,Lost Bullet,France,Crime,2020-06-19,True,62%,,DOM,https://flixpatrol.com/title/lost-bullet,AME
26,TV Show,The Order,USA,Fantasy,2019-03-07,True,69%,100%,DOM,https://flixpatrol.com/title/the-order-2019,AME
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,DOM,https://flixpatrol.com/title/365-days,AME
25,TV Show,The Order,USA,Fantasy,2019-03-07,True,69%,100%,DOM,https://flixpatrol.com/title/the-order-2019,AME
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,DOM,https://flixpatrol.com/title/365-days,AME
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,DOM,https://flixpatrol.com/title/13-reasons-why,AME
23,Movie,Unforgettable,USA,,2017-04-20,False,51%,27%,DOM,https://flixpatrol.com/title/unforgettable,AME
23,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,DOM,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,AME
22,Movie,Mercury Rising,USA,Action,1998-04-03,False,61%,17%,DOM,https://flixpatrol.com/title/mercury-rising,AME
22,TV Show,Dynasty,USA,Drama,2017-10-11,True,59%,80%,DOM,https://flixpatrol.com/title/dynasty-2017,AME
21,Movie,Going in Style,USA,Comedy,2017-04-06,False,68%,49%,DOM,https://flixpatrol.com/title/going-in-style,AME
21,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,DOM,https://flixpatrol.com/title/the-last-dance,AME
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,DOM,https://flixpatrol.com/title/the-wrong-missy,AME
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,DOM,https://flixpatrol.com/title/the-last-dance,AME
19,Movie,Space Jam,USA,Comedy,1996-11-15,False,63%,38%,DOM,https://flixpatrol.com/title/space-jam,AME
19,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,DOM,https://flixpatrol.com/title/the-last-dance,AME
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,DOM,https://flixpatrol.com/title/extraction-2020,AME
18,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78%,98%,DOM,https://flixpatrol.com/title/never-have-i-ever,AME
17,Movie,Que Leones,Dominican Republic,,2019-11-28,False,51%,,DOM,https://flixpatrol.com/title/que-leones,AME
17,TV Show,El Dragón: Return of a Warrior,Mexico,Action,2019-10-04,True,70%,,DOM,https://flixpatrol.com/title/el-dragon-return-of-a-warrior,AME
16,Movie,Que Leones,Dominican Republic,,2019-11-28,False,51%,,DOM,https://flixpatrol.com/title/que-leones,AME
16,TV Show,Blindspot,USA,Crime,2015-09-21,False,74%,,DOM,https://flixpatrol.com/title/blindspot-2015,AME
