week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,ECU,https://flixpatrol.com/title/the-emoji-movie,AME
37,TV Show,Her Mother's Killer,,,2020-01-01,False,,,ECU,https://flixpatrol.com/title/her-mothers-killer,AME
36,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,ECU,https://flixpatrol.com/title/the-emoji-movie,AME
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,ECU,https://flixpatrol.com/title/cobra-kai,AME
35,Movie,Escape Plan,USA,Action,2013-11-13,False,68%,49%,ECU,https://flixpatrol.com/title/escape-plan,AME
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,ECU,https://flixpatrol.com/title/lucifer,AME
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,ECU,https://flixpatrol.com/title/project-power,AME
34,TV Show,All For Love,Colombia,Drama,2020-01-07,True,68%,,ECU,https://flixpatrol.com/title/all-for-love-2020,AME
33,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,ECU,https://flixpatrol.com/title/wonder,AME
33,TV Show,The Seven Deadly Sins,Japan,Animation,2014-10-05,True,82%,,ECU,https://flixpatrol.com/title/the-seven-deadly-sins,AME
32,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,ECU,https://flixpatrol.com/title/wonder,AME
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,ECU,https://flixpatrol.com/title/locked-up,AME
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,ECU,https://flixpatrol.com/title/the-kissing-booth-2,AME
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,ECU,https://flixpatrol.com/title/dark-desire,AME
30,Movie,Spider-Man: Homecoming,USA,Superhero,2017-07-05,False,75%,92%,ECU,https://flixpatrol.com/title/spider-man-homecoming,AME
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,ECU,https://flixpatrol.com/title/dark-desire,AME
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,ECU,https://flixpatrol.com/title/the-old-guard,AME
29,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,ECU,https://flixpatrol.com/title/dark-desire,AME
28,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,ECU,https://flixpatrol.com/title/american-assassin,AME
28,TV Show,All For Love,Colombia,Drama,2020-01-07,True,68%,,ECU,https://flixpatrol.com/title/all-for-love-2020,AME
27,Movie,Baby Driver,USA,Action,2017-06-28,False,78%,92%,ECU,https://flixpatrol.com/title/baby-driver,AME
27,TV Show,All For Love,Colombia,Drama,2020-01-07,True,68%,,ECU,https://flixpatrol.com/title/all-for-love-2020,AME
26,Movie,Feel the Beat,USA,Comedy,2020-06-19,True,64%,46%,ECU,https://flixpatrol.com/title/feel-the-beat-2020,AME
26,TV Show,Floor is Lava,USA,Reality-Show,2020-06-19,True,51%,83%,ECU,https://flixpatrol.com/title/floor-is-lava,AME
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,ECU,https://flixpatrol.com/title/365-days,AME
25,TV Show,"Pablo Escobar, The Drug Lord",Colombia,Crime,2012-05-28,False,86%,,ECU,https://flixpatrol.com/title/pablo-escobar-the-drug-lord,AME
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,ECU,https://flixpatrol.com/title/365-days,AME
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,ECU,https://flixpatrol.com/title/13-reasons-why,AME
23,Movie,Grown Ups,USA,Comedy,2010-06-24,False,60%,10%,ECU,https://flixpatrol.com/title/grown-ups,AME
23,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,ECU,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,AME
22,Movie,Mercury Rising,USA,Action,1998-04-03,False,61%,17%,ECU,https://flixpatrol.com/title/mercury-rising,AME
22,TV Show,Control Z,Mexico,Drama,2020-05-22,True,70%,67%,ECU,https://flixpatrol.com/title/control-z,AME
21,Movie,Going in Style,USA,Comedy,2017-04-06,False,68%,49%,ECU,https://flixpatrol.com/title/going-in-style,AME
21,TV Show,The 100,USA,Science Fiction,2014-03-19,True,78%,92%,ECU,https://flixpatrol.com/title/the-100,AME
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,ECU,https://flixpatrol.com/title/the-wrong-missy,AME
20,TV Show,"Pablo Escobar, The Drug Lord",Colombia,Crime,2012-05-28,False,86%,,ECU,https://flixpatrol.com/title/pablo-escobar-the-drug-lord,AME
19,Movie,Space Jam,USA,Comedy,1996-11-15,False,63%,38%,ECU,https://flixpatrol.com/title/space-jam,AME
