week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,ESP,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,ESP,https://flixpatrol.com/title/away-2020,EUR
36,Movie,Unknown Origins,Spain,Crime,2020-08-28,True,61%,,ESP,https://flixpatrol.com/title/unknown-origins,EUR
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,ESP,https://flixpatrol.com/title/cobra-kai,EUR
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55%,80%,ESP,https://flixpatrol.com/title/the-sleepover,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,ESP,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,ESP,https://flixpatrol.com/title/project-power,EUR
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,ESP,https://flixpatrol.com/title/the-umbrella-academy,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,ESP,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,ESP,https://flixpatrol.com/title/the-umbrella-academy,EUR
32,Movie,Bumblebee,USA,Science Fiction,2018-12-15,False,73%,93%,ESP,https://flixpatrol.com/title/bumblebee,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,ESP,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,ESP,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,ESP,https://flixpatrol.com/title/cursed-2020,EUR
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,ESP,https://flixpatrol.com/title/milf-2018,EUR
