week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Robin Hood,USA,Adventure,2018-09-01,False,53%,15%,FIN,https://flixpatrol.com/title/robin-hood-2018,EUR
37,TV Show,Young Wallander,Sweden,Crime,2020-09-03,True,69%,,FIN,https://flixpatrol.com/title/young-wallander,EUR
36,Movie,Joker,USA,Superhero,2019-10-02,False,89%,68%,FIN,https://flixpatrol.com/title/joker-2019,EUR
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,FIN,https://flixpatrol.com/title/lucifer,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,FIN,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,FIN,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,FIN,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,FIN,https://flixpatrol.com/title/modern-family,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,FIN,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,FIN,https://flixpatrol.com/title/modern-family,EUR
32,Movie,Malibu Rescue: The Next Wave,USA,Comedy,2020-08-04,True,59%,,FIN,https://flixpatrol.com/title/malibu-rescue-the-next-wave,EUR
32,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,FIN,https://flixpatrol.com/title/modern-family,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,FIN,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,FIN,https://flixpatrol.com/title/modern-family,EUR
30,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,FIN,https://flixpatrol.com/title/venom-2018,EUR
