week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,FRA,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,FRA,https://flixpatrol.com/title/away-2020,EUR
36,Movie,Taxi 2,France,Action,2000-03-24,False,64%,,FRA,https://flixpatrol.com/title/taxi-2,EUR
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,FRA,https://flixpatrol.com/title/lucifer,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,FRA,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,FRA,https://flixpatrol.com/title/lucifer,EUR
34,Movie,The Fate of the Furious,USA,Action,2017-04-12,False,69%,66%,FRA,https://flixpatrol.com/title/the-fate-of-the-furious,EUR
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,FRA,https://flixpatrol.com/title/the-umbrella-academy,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,FRA,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,FRA,https://flixpatrol.com/title/the-umbrella-academy,EUR
32,Documentary,Anelka: Misunderstood,France,Documentary,2020-08-05,True,71%,,FRA,https://flixpatrol.com/title/anelka-misunderstood,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,FRA,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,FRA,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Good Girls,USA,Comedy,2018-02-26,True,78%,87%,FRA,https://flixpatrol.com/title/good-girls,EUR
30,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,FRA,https://flixpatrol.com/title/the-old-guard,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,FRA,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,FRA,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,H,France,Comedy,1998-10-24,False,74%,,FRA,https://flixpatrol.com/title/h-1998,EUR
28,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,FRA,https://flixpatrol.com/title/365-days,EUR
28,TV Show,H,France,Comedy,1998-10-24,False,74%,,FRA,https://flixpatrol.com/title/h-1998,EUR
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,FRA,https://flixpatrol.com/title/365-days,EUR
27,TV Show,H,France,Comedy,1998-10-24,False,74%,,FRA,https://flixpatrol.com/title/h-1998,EUR
26,Movie,Lost Bullet,France,Crime,2020-06-19,True,62%,,FRA,https://flixpatrol.com/title/lost-bullet,EUR
26,TV Show,The Order,USA,Fantasy,2019-03-07,True,69%,100%,FRA,https://flixpatrol.com/title/the-order-2019,EUR
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,FRA,https://flixpatrol.com/title/365-days,EUR
25,TV Show,Rick and Morty,USA,Animated,2013-12-02,False,93%,,FRA,https://flixpatrol.com/title/rick-and-morty,EUR
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,FRA,https://flixpatrol.com/title/365-days,EUR
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,FRA,https://flixpatrol.com/title/13-reasons-why,EUR
23,Movie,The Secret Life of Pets,USA,Animated,2016-07-08,False,67%,74%,FRA,https://flixpatrol.com/title/the-secret-life-of-pets,EUR
23,TV Show,Dynasty,USA,Drama,2017-10-11,True,59%,80%,FRA,https://flixpatrol.com/title/dynasty-2017,EUR
22,Movie,8 Mile,USA,Drama,2002-11-08,False,70%,76%,FRA,https://flixpatrol.com/title/8-mile,EUR
22,TV Show,Dynasty,USA,Drama,2017-10-11,True,59%,80%,FRA,https://flixpatrol.com/title/dynasty-2017,EUR
21,Movie,King Arthur: Legend of the Sword,USA,Fantasy,2017-03-22,False,67%,31%,FRA,https://flixpatrol.com/title/king-arthur-legend-of-the-sword,EUR
21,TV Show,Dérapages,France,Crime,2020-04-16,False,,,FRA,https://flixpatrol.com/title/derapages,EUR
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,FRA,https://flixpatrol.com/title/the-wrong-missy,EUR
20,TV Show,Valeria,Spain,Drama,2020-05-08,True,58%,,FRA,https://flixpatrol.com/title/valeria,EUR
19,Movie,Get Out,USA,Horror,2017-02-24,False,82%,99%,FRA,https://flixpatrol.com/title/get-out,EUR
19,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78%,98%,FRA,https://flixpatrol.com/title/never-have-i-ever,EUR
