week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,GRE,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,GRE,https://flixpatrol.com/title/cobra-kai,EUR
36,Short,The Boss Baby: Get That Baby!,USA,Animated,2020-09-01,False,,,GRE,https://flixpatrol.com/title/the-boss-baby-get-that-baby,EUR
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,GRE,https://flixpatrol.com/title/cobra-kai,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,GRE,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,GRE,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,GRE,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,GRE,https://flixpatrol.com/title/locked-up,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,GRE,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,GRE,https://flixpatrol.com/title/locked-up,EUR
32,Movie,Johnny English Strikes Again,United Kingdom,Comedy,2018-09-13,False,66%,34%,GRE,https://flixpatrol.com/title/johnny-english-3,EUR
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,GRE,https://flixpatrol.com/title/locked-up,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,GRE,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,GRE,https://flixpatrol.com/title/dark-desire,EUR
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,GRE,https://flixpatrol.com/title/milf-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,GRE,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,GRE,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,GRE,https://flixpatrol.com/title/warrior-nun,EUR
28,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,GRE,https://flixpatrol.com/title/365-days,EUR
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,GRE,https://flixpatrol.com/title/warrior-nun,EUR
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,GRE,https://flixpatrol.com/title/365-days,EUR
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,GRE,https://flixpatrol.com/title/dark-2017,EUR
26,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,GRE,https://flixpatrol.com/title/venom-2018,EUR
26,TV Show,The Order,USA,Fantasy,2019-03-07,True,69%,100%,GRE,https://flixpatrol.com/title/the-order-2019,EUR
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,GRE,https://flixpatrol.com/title/365-days,EUR
25,TV Show,The Order,USA,Fantasy,2019-03-07,True,69%,100%,GRE,https://flixpatrol.com/title/the-order-2019,EUR
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,GRE,https://flixpatrol.com/title/365-days,EUR
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,GRE,https://flixpatrol.com/title/13-reasons-why,EUR
23,Movie,Focus,USA,Crime,2015-02-27,False,66%,56%,GRE,https://flixpatrol.com/title/focus,EUR
23,TV Show,Space Force,USA,Comedy,2020-05-29,True,70%,41%,GRE,https://flixpatrol.com/title/space-force,EUR
22,Movie,Intuition,Argentina,Crime,2020-05-28,True,59%,,GRE,https://flixpatrol.com/title/intuition,EUR
22,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61%,64%,GRE,https://flixpatrol.com/title/white-lines,EUR
21,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,GRE,https://flixpatrol.com/title/the-wrong-missy,EUR
21,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,GRE,https://flixpatrol.com/title/the-last-dance,EUR
20,Movie,The Equalizer 2,USA,Action,2018-07-19,False,71%,51%,GRE,https://flixpatrol.com/title/the-equalizer-2,EUR
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,GRE,https://flixpatrol.com/title/the-last-dance,EUR
19,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,GRE,https://flixpatrol.com/title/skyscraper,EUR
19,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,GRE,https://flixpatrol.com/title/the-last-dance,EUR
