week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Suicide Squad,USA,Superhero,2016-08-02,False,61%,25%,ITA,https://flixpatrol.com/title/suicide-squad,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,ITA,https://flixpatrol.com/title/away-2020,EUR
36,Movie,The Match,Croatia,Drama,2020-09-01,False,,,ITA,https://flixpatrol.com/title/the-match,EUR
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,ITA,https://flixpatrol.com/title/lucifer,EUR
35,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,ITA,https://flixpatrol.com/title/venom-2018,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,ITA,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,ITA,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,ITA,https://flixpatrol.com/title/locked-up,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,ITA,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,ITA,https://flixpatrol.com/title/locked-up,EUR
32,Movie,The Mummy,USA,Adventure,2017-06-06,False,55%,13%,ITA,https://flixpatrol.com/title/the-mummy-2017,EUR
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,ITA,https://flixpatrol.com/title/locked-up,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,ITA,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,ITA,https://flixpatrol.com/title/cursed-2020,EUR
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,ITA,https://flixpatrol.com/title/milf-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,ITA,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,ITA,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,ITA,https://flixpatrol.com/title/dark-2017,EUR
28,Movie,Under the Riccione Sun,Italy,Comedy,2020-07-01,True,52%,,ITA,https://flixpatrol.com/title/under-the-riccione-sun,EUR
28,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,ITA,https://flixpatrol.com/title/dark-2017,EUR
27,Movie,Under the Riccione Sun,Italy,Comedy,2020-07-01,True,52%,,ITA,https://flixpatrol.com/title/under-the-riccione-sun,EUR
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,ITA,https://flixpatrol.com/title/dark-2017,EUR
