week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,G.I. Joe: The Rise of Cobra,USA,Science Fiction,2009-08-07,False,58%,35%,JPN,https://flixpatrol.com/title/gi-joe-the-rise-of-cobra,ASI
37,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
36,Movie -- --,Nihontouitsu Series,,,Movie,False,,,JPN,https://flixpatrol.com/title/nihontouitsu-series,ASI
36,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
35,Movie,The Lies She Loved,,,2018-01-20,False,,,JPN,https://flixpatrol.com/title/the-lies-she-loved,ASI
35,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,JPN,https://flixpatrol.com/title/project-power,ASI
34,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
33,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,JPN,https://flixpatrol.com/title/venom-2018,ASI
33,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,JPN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
32,Movie,Mile 22,USA,Action,2018-08-16,False,61%,23%,JPN,https://flixpatrol.com/title/mile-22,ASI
32,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,JPN,https://flixpatrol.com/title/the-kissing-booth-2,ASI
31,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
30,Movie,Child's Play,USA,Horror,2019-06-19,False,60%,62%,JPN,https://flixpatrol.com/title/childs-play,ASI
30,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
29,Movie,Joker,USA,Superhero,2019-10-02,False,89%,68%,JPN,https://flixpatrol.com/title/joker-2019,ASI
29,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
28,Movie,Joker,USA,Superhero,2019-10-02,False,89%,68%,JPN,https://flixpatrol.com/title/joker-2019,ASI
28,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
27,Movie,A Whisker Away,Japan,Animated,2020-06-18,True,68%,,JPN,https://flixpatrol.com/title/a-whisker-away,ASI
27,TV Show,Crash Landing on You,South Korea,Drama,2019-12-14,True,,99%,JPN,https://flixpatrol.com/title/crash-landing-on-you,ASI
26,Movie,A Whisker Away,Japan,Animated,2020-06-18,True,68%,,JPN,https://flixpatrol.com/title/a-whisker-away,ASI
