week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,MEX,https://flixpatrol.com/title/the-emoji-movie,AME
37,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,MEX,https://flixpatrol.com/title/cobra-kai,AME
36,Movie,The Emoji Movie,USA,Animated,2017-07-28,False,14%,8%,MEX,https://flixpatrol.com/title/the-emoji-movie,AME
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,MEX,https://flixpatrol.com/title/cobra-kai,AME
35,Movie,Escape Plan,USA,Action,2013-11-13,False,68%,49%,MEX,https://flixpatrol.com/title/escape-plan,AME
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,MEX,https://flixpatrol.com/title/lucifer,AME
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,MEX,https://flixpatrol.com/title/project-power,AME
34,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,MEX,https://flixpatrol.com/title/dark-desire,AME
33,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,MEX,https://flixpatrol.com/title/wonder,AME
33,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,MEX,https://flixpatrol.com/title/dark-desire,AME
32,Movie,Wonder,USA,Drama,2017-11-13,False,80%,93%,MEX,https://flixpatrol.com/title/wonder,AME
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,MEX,https://flixpatrol.com/title/the-umbrella-academy,AME
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,MEX,https://flixpatrol.com/title/the-kissing-booth-2,AME
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,MEX,https://flixpatrol.com/title/dark-desire,AME
30,Movie,Spider-Man: Homecoming,USA,Superhero,2017-07-05,False,75%,92%,MEX,https://flixpatrol.com/title/spider-man-homecoming,AME
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,MEX,https://flixpatrol.com/title/dark-desire,AME
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,MEX,https://flixpatrol.com/title/the-old-guard,AME
29,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,MEX,https://flixpatrol.com/title/dark-desire,AME
28,Movie,American Assassin,USA,Action,2017-09-14,False,70%,35%,MEX,https://flixpatrol.com/title/american-assassin,AME
28,TV Show,Unsolved Mysteries,USA,Documentary,2020-07-01,True,80%,74%,MEX,https://flixpatrol.com/title/unsolved-mysteries-2020,AME
27,Movie,Baby Driver,USA,Action,2017-06-28,False,78%,92%,MEX,https://flixpatrol.com/title/baby-driver,AME
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,MEX,https://flixpatrol.com/title/dark-2017,AME
26,Movie,Feel the Beat,USA,Comedy,2020-06-19,True,64%,46%,MEX,https://flixpatrol.com/title/feel-the-beat-2020,AME
26,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,MEX,https://flixpatrol.com/title/dark-2017,AME
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,MEX,https://flixpatrol.com/title/365-days,AME
25,TV Show,The Search,Mexico,Crime,2020-06-12,True,,,MEX,https://flixpatrol.com/title/the-search-2020,AME
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,MEX,https://flixpatrol.com/title/365-days,AME
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,MEX,https://flixpatrol.com/title/13-reasons-why,AME
23,Movie,Grown Ups,USA,Comedy,2010-06-24,False,60%,10%,MEX,https://flixpatrol.com/title/grown-ups,AME
23,Documentary TV,Jeffrey Epstein: Filthy Rich,USA,Documentary,2020-05-27,True,72%,79%,MEX,https://flixpatrol.com/title/jeffrey-epstein-filthy-rich,AME
22,Movie,I'm No Longer Here,Mexico,Drama,2019-10-21,True,70%,,MEX,https://flixpatrol.com/title/im-no-longer-here,AME
22,TV Show,Control Z,Mexico,Drama,2020-05-22,True,70%,67%,MEX,https://flixpatrol.com/title/control-z,AME
21,TV Show,Rosario Tijeras,Colombia,,2010-07-23,False,62%,,MEX,https://flixpatrol.com/title/rosario-tijeras,AME
21,Movie,Going in Style,USA,Comedy,2017-04-06,False,68%,49%,MEX,https://flixpatrol.com/title/going-in-style,AME
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56%,25%,MEX,https://flixpatrol.com/title/the-wrong-missy,AME
20,Documentary TV,The Last Dance,USA,Documentary,2020-04-19,True,94%,97%,MEX,https://flixpatrol.com/title/the-last-dance,AME
19,Movie,Space Jam,USA,Comedy,1996-11-15,False,63%,38%,MEX,https://flixpatrol.com/title/space-jam,AME
19,TV Show,The House of Flowers,Mexico,Drama,2018-08-10,True,80%,,MEX,https://flixpatrol.com/title/the-house-of-flowers,AME
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,MEX,https://flixpatrol.com/title/extraction-2020,AME
18,TV Show,The House of Flowers,Mexico,Drama,2018-08-10,True,80%,,MEX,https://flixpatrol.com/title/the-house-of-flowers,AME
17,Movie,Focus,USA,Crime,2015-02-27,False,66%,56%,MEX,https://flixpatrol.com/title/focus,AME
17,TV Show,The House of Flowers,Mexico,Drama,2018-08-10,True,80%,,MEX,https://flixpatrol.com/title/the-house-of-flowers,AME
16,Movie,Love. Wedding. Repeat,Italy,Comedy,2020-04-10,True,55%,34%,MEX,https://flixpatrol.com/title/love-wedding-repeat,AME
16,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,MEX,https://flixpatrol.com/title/money-heist,AME
15,Movie,The Intern,USA,Comedy,2015-09-24,False,74%,60%,MEX,https://flixpatrol.com/title/the-intern,AME
15,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,MEX,https://flixpatrol.com/title/money-heist,AME
14,Movie,Miracle in Cell No. 7,Turkey,Drama,2019-10-10,False,83%,,MEX,https://flixpatrol.com/title/miracle-in-cell-no-7,AME
14,TV Show,Money Heist,Spain,Action,2017-05-02,True,84%,93%,MEX,https://flixpatrol.com/title/money-heist,AME
