week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,A Simple Favor,USA,Crime,2018-09-13,False,71%,86%,MYS,https://flixpatrol.com/title/a-simple-favor,ASI
37,TV Show,The World of the Married,,,2020-03-27,False,,,MYS,https://flixpatrol.com/title/the-world-of-the-married,ASI
36,Movie,KL Gangster 2,,,2013-10-02,False,,,MYS,https://flixpatrol.com/title/kl-gangster-2,ASI
36,TV Show,The World of the Married,,,2020-03-27,False,,,MYS,https://flixpatrol.com/title/the-world-of-the-married,ASI
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55%,80%,MYS,https://flixpatrol.com/title/the-sleepover,ASI
35,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,MYS,https://flixpatrol.com/title/project-power,ASI
34,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
33,Movie,Ocean's 8,USA,Crime,2018-06-08,False,62%,,MYS,https://flixpatrol.com/title/oceans-8,ASI
33,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
32,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,MYS,https://flixpatrol.com/title/skyscraper,ASI
32,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,MYS,https://flixpatrol.com/title/the-kissing-booth-2,ASI
31,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
30,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,MYS,https://flixpatrol.com/title/the-old-guard,ASI
30,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,MYS,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
28,Movie,Truth or Dare,USA,Horror,2018-04-12,False,44%,14%,MYS,https://flixpatrol.com/title/truth-or-dare-2018,ASI
28,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,MYS,https://flixpatrol.com/title/365-days,ASI
27,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
26,Movie,Jurassic World: Fallen Kingdom,USA,Science Fiction,2018-06-06,False,67%,47%,MYS,https://flixpatrol.com/title/jurassic-world-fallen-kingdom,ASI
26,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,MYS,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
25,Movie,Sniper: Ultimate Kill,USA,Action,2017-10-03,False,56%,,MYS,https://flixpatrol.com/title/sniper-ultimate-kill,ASI
25,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,MYS,https://flixpatrol.com/title/365-days,ASI
24,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
23,Movie,The Last Days of American Crime,USA,Science Fiction,2020-06-05,True,40%,,MYS,https://flixpatrol.com/title/the-last-days-of-american-crime,ASI
23,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
22,Movie,X-Men: Apocalypse,USA,Superhero,2016-05-18,False,72%,48%,MYS,https://flixpatrol.com/title/x-men-apocalypse,ASI
22,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
21,Movie,Rampage,USA,Adventure,2018-04-19,False,66%,51%,MYS,https://flixpatrol.com/title/rampage,ASI
21,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
20,Movie,The Angry Birds Movie 2,USA,Animated,2019-08-02,False,65%,73%,MYS,https://flixpatrol.com/title/the-angry-birds-movie-2,ASI
20,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
19,Movie,The Angry Birds Movie 2,USA,Animated,2019-08-02,False,65%,73%,MYS,https://flixpatrol.com/title/the-angry-birds-movie-2,ASI
19,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,MYS,https://flixpatrol.com/title/extraction-2020,ASI
18,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,MYS,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
17,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,MYS,https://flixpatrol.com/title/extraction-2020,ASI
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42%,37%,MYS,https://flixpatrol.com/title/too-hot-to-handle,ASI
