week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
37,Movie,#Alive,South Korea,Horror,2020-09-08,False,62,86,PAK,https://flixpatrol.com/title/alive-2020,ASI,2020,9
37,TV Show,Resurrection: Ertugrul,Turkey,Unknown,2014-12-11,False,78,0,PAK,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI,2014,12
36,Movie,Aquaman,USA,Superhero,2018-12-07,False,77,65,PAK,https://flixpatrol.com/title/aquaman,ASI,2018,12
36,TV Show,Resurrection: Ertugrul,Turkey,Unknown,2014-12-11,False,78,0,PAK,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI,2014,12
35,Movie,Class of '83,India,Drama,2020-08-21,False,0,20,PAK,https://flixpatrol.com/title/class-of-83,ASI,2020,8
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,PAK,https://flixpatrol.com/title/lucifer,ASI,2016,1
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55,50,CHE,https://flixpatrol.com/title/love-guaranteed,EUR,2020,9
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71,73,CHE,https://flixpatrol.com/title/away-2020,EUR,2020,9
36,Movie,Aquaman,USA,Superhero,2018-12-07,False,77,65,CHE,https://flixpatrol.com/title/aquaman,EUR,2018,12
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88,94,CHE,https://flixpatrol.com/title/cobra-kai,EUR,2018,5
35,Movie,Venom,USA,Superhero,2018-10-03,False,71,29,CHE,https://flixpatrol.com/title/venom-2018,EUR,2018,10
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83,87,CHE,https://flixpatrol.com/title/lucifer,EUR,2016,1
34,Movie,Project Power,USA,Action,2020-08-14,True,61,63,CHE,https://flixpatrol.com/title/project-power,EUR,2020,8
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
33,Movie,Work It,USA,Comedy,2020-08-07,True,61,0,CHE,https://flixpatrol.com/title/work-it-2020,EUR,2020,8
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
32,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62,28,CHE,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,CHE,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
