week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,OMN,https://flixpatrol.com/title/skyscraper,ASI
37,TV Show,Resurrection: Ertugrul,Turkey,,2014-12-11,False,78%,,OMN,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,OMN,https://flixpatrol.com/title/santana,ASI
36,TV Show,Resurrection: Ertugrul,Turkey,,2014-12-11,False,78%,,OMN,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI
35,Movie,Class of '83,India,Drama,2020-08-21,False,,20%,OMN,https://flixpatrol.com/title/class-of-83,ASI
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,OMN,https://flixpatrol.com/title/lucifer,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,OMN,https://flixpatrol.com/title/project-power,ASI
34,TV Show,Resurrection: Ertugrul,Turkey,,2014-12-11,False,78%,,OMN,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,OMN,https://flixpatrol.com/title/work-it-2020,ASI
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,OMN,https://flixpatrol.com/title/locked-up,ASI
32,Movie,Raat Akeli Hai,India,Crime,2020-07-31,False,78%,,OMN,https://flixpatrol.com/title/raat-akeli-hai,ASI
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,OMN,https://flixpatrol.com/title/locked-up,ASI
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,OMN,https://flixpatrol.com/title/the-kissing-booth-2,ASI
31,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,OMN,https://flixpatrol.com/title/cursed-2020,ASI
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,OMN,https://flixpatrol.com/title/milf-2018,ASI
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,OMN,https://flixpatrol.com/title/cursed-2020,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,OMN,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,Resurrection: Ertugrul,Turkey,,2014-12-11,False,78%,,OMN,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI
28,Movie,The Mask,USA,Comedy,1994-07-29,False,69%,77%,OMN,https://flixpatrol.com/title/the-mask,ASI
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,OMN,https://flixpatrol.com/title/warrior-nun,ASI
27,Movie,The Mask,USA,Comedy,1994-07-29,False,69%,77%,OMN,https://flixpatrol.com/title/the-mask,ASI
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,OMN,https://flixpatrol.com/title/dark-2017,ASI
26,Movie,Lost Bullet,France,Crime,2020-06-19,True,62%,,OMN,https://flixpatrol.com/title/lost-bullet,ASI
26,TV Show,Resurrection: Ertugrul,Turkey,,2014-12-11,False,78%,,OMN,https://flixpatrol.com/title/resurrection-ertugrul-2014,ASI
