week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,POR,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,POR,https://flixpatrol.com/title/away-2020,EUR
36,Movie -- --,Em Prova: Amiga do Inimigo,,,Movie,False,,,POR,https://flixpatrol.com/title/em-prova-amiga-do-inimigo,EUR
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,POR,https://flixpatrol.com/title/lucifer,EUR
35,Movie,The Sleepover,USA,Comedy,2020-08-21,True,55%,80%,POR,https://flixpatrol.com/title/the-sleepover,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,POR,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,POR,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,POR,https://flixpatrol.com/title/dark-desire,EUR
33,Movie,Aquaman,USA,Superhero,2018-12-07,False,77%,65%,POR,https://flixpatrol.com/title/aquaman,EUR
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,POR,https://flixpatrol.com/title/the-umbrella-academy,EUR
32,Movie,Aquaman,USA,Superhero,2018-12-07,False,77%,65%,POR,https://flixpatrol.com/title/aquaman,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,POR,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,POR,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,POR,https://flixpatrol.com/title/dark-desire,EUR
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,POR,https://flixpatrol.com/title/milf-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,POR,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,POR,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,POR,https://flixpatrol.com/title/warrior-nun,EUR
28,Movie,Desperados,USA,Comedy,2020-07-03,True,51%,15%,POR,https://flixpatrol.com/title/desperados-2020,EUR
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,POR,https://flixpatrol.com/title/warrior-nun,EUR
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,POR,https://flixpatrol.com/title/365-days,EUR
27,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,POR,https://flixpatrol.com/title/warrior-nun,EUR
26,Movie,Feel the Beat,USA,Comedy,2020-06-19,True,64%,46%,POR,https://flixpatrol.com/title/feel-the-beat-2020,EUR
26,TV Show,The Sinner,USA,Crime,2017-08-02,True,80%,90%,POR,https://flixpatrol.com/title/the-sinner,EUR
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,POR,https://flixpatrol.com/title/365-days,EUR
25,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61%,64%,POR,https://flixpatrol.com/title/white-lines,EUR
