week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,SAU,https://flixpatrol.com/title/skyscraper,ASI
37,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SAU,https://flixpatrol.com/title/lucifer,ASI
36,Movie,Santana,South Africa,Action,2020-08-28,False,39%,,SAU,https://flixpatrol.com/title/santana,ASI
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SAU,https://flixpatrol.com/title/lucifer,ASI
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SAU,https://flixpatrol.com/title/project-power,ASI
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SAU,https://flixpatrol.com/title/lucifer,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SAU,https://flixpatrol.com/title/project-power,ASI
34,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,SAU,https://flixpatrol.com/title/locked-up,ASI
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,SAU,https://flixpatrol.com/title/work-it-2020,ASI
33,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,SAU,https://flixpatrol.com/title/locked-up,ASI
32,Movie,Jumanji: Welcome to the Jungle,USA,Adventure,2017-12-20,False,69%,76%,SAU,https://flixpatrol.com/title/jumanji-welcome-to-the-jungle,ASI
32,TV Show,Locked Up,Spain,Drama,2015-04-20,True,83%,100%,SAU,https://flixpatrol.com/title/locked-up,ASI
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,SAU,https://flixpatrol.com/title/the-kissing-booth-2,ASI
31,TV Show,Good Girls,USA,Comedy,2018-02-26,True,78%,87%,SAU,https://flixpatrol.com/title/good-girls,ASI
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,SAU,https://flixpatrol.com/title/milf-2018,ASI
30,TV Show,Dark Desire,Mexico,Drama,2020-07-15,True,75%,,SAU,https://flixpatrol.com/title/dark-desire,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,SAU,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,Queen of the South,USA,Drama,2016-06-23,False,77%,,SAU,https://flixpatrol.com/title/queen-of-the-south,ASI
28,Movie,The Mask,USA,Comedy,1994-07-29,False,69%,77%,SAU,https://flixpatrol.com/title/the-mask,ASI
28,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,SAU,https://flixpatrol.com/title/dark-2017,ASI
27,Movie,The Mask,USA,Comedy,1994-07-29,False,69%,77%,SAU,https://flixpatrol.com/title/the-mask,ASI
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,SAU,https://flixpatrol.com/title/dark-2017,ASI
26,Movie,Lost Bullet,France,Crime,2020-06-19,True,62%,,SAU,https://flixpatrol.com/title/lost-bullet,ASI
26,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,SAU,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
