week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,SGP,https://flixpatrol.com/title/love-guaranteed,ASI
37,TV Show,The World of the Married,,,2020-03-27,False,,,SGP,https://flixpatrol.com/title/the-world-of-the-married,ASI
36,Movie,The First Purge,USA,Horror,2018-07-04,False,53%,54%,SGP,https://flixpatrol.com/title/the-first-purge,ASI
36,TV Show,The World of the Married,,,2020-03-27,False,,,SGP,https://flixpatrol.com/title/the-world-of-the-married,ASI
35,Movie,John Wick: Chapter Two,USA,Action,2017-02-10,False,76%,89%,SGP,https://flixpatrol.com/title/john-wick-chapter-two,ASI
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SGP,https://flixpatrol.com/title/lucifer,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SGP,https://flixpatrol.com/title/project-power,ASI
34,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
33,Movie,Ocean's 8,USA,Crime,2018-06-08,False,62%,,SGP,https://flixpatrol.com/title/oceans-8,ASI
33,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
32,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,SGP,https://flixpatrol.com/title/skyscraper,ASI
32,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
31,Movie,The Equalizer,USA,Action,2014-09-26,False,72%,60%,SGP,https://flixpatrol.com/title/the-equalizer,ASI
31,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
30,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,SGP,https://flixpatrol.com/title/the-old-guard,ASI
30,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,SGP,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
28,Movie,Johnny English Reborn,United Kingdom,Comedy,2011-09-15,False,63%,38%,SGP,https://flixpatrol.com/title/johnny-english-reborn,ASI
28,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,SGP,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
27,Movie,Independence Day: Resurgence,USA,Science Fiction,2016-06-22,False,54%,30%,SGP,https://flixpatrol.com/title/independence-day-resurgence,ASI
