week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,SVK,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71%,73%,SVK,https://flixpatrol.com/title/away-2020,EUR
36,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SVK,https://flixpatrol.com/title/project-power,EUR
36,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SVK,https://flixpatrol.com/title/lucifer,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SVK,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SVK,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SVK,https://flixpatrol.com/title/project-power,EUR
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,SVK,https://flixpatrol.com/title/the-umbrella-academy,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,SVK,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,SVK,https://flixpatrol.com/title/the-umbrella-academy,EUR
32,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,SVK,https://flixpatrol.com/title/the-kissing-booth-2,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,SVK,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,SVK,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,SVK,https://flixpatrol.com/title/cursed-2020,EUR
30,Movie,MILF,France,Comedy,2018-05-02,False,,14%,SVK,https://flixpatrol.com/title/milf-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,SVK,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,SVK,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,SVK,https://flixpatrol.com/title/warrior-nun,EUR
28,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,SVK,https://flixpatrol.com/title/365-days,EUR
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,SVK,https://flixpatrol.com/title/warrior-nun,EUR
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,SVK,https://flixpatrol.com/title/365-days,EUR
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87%,94%,SVK,https://flixpatrol.com/title/dark-2017,EUR
26,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,SVK,https://flixpatrol.com/title/365-days,EUR
26,TV Show,The Sinner,USA,Crime,2017-08-02,True,80%,90%,SVK,https://flixpatrol.com/title/the-sinner,EUR
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,SVK,https://flixpatrol.com/title/365-days,EUR
25,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,SVK,https://flixpatrol.com/title/13-reasons-why,EUR
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,SVK,https://flixpatrol.com/title/365-days,EUR
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84%,39%,SVK,https://flixpatrol.com/title/13-reasons-why,EUR
23,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,SVK,https://flixpatrol.com/title/venom-2018,EUR
23,TV Show,Space Force,USA,Comedy,2020-05-29,True,70%,41%,SVK,https://flixpatrol.com/title/space-force,EUR
22,Movie,Little Feather,Slovakia,Drama,2016-10-06,False,61%,,SVK,https://flixpatrol.com/title/little-feather,EUR
