week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55%,50%,SWE,https://flixpatrol.com/title/love-guaranteed,EUR
37,TV Show,Young Wallander,Sweden,Crime,2020-09-03,True,69%,,SWE,https://flixpatrol.com/title/young-wallander,EUR
36,Movie,Robin Hood,USA,Adventure,2018-09-01,False,53%,15%,SWE,https://flixpatrol.com/title/robin-hood-2018,EUR
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88%,94%,SWE,https://flixpatrol.com/title/cobra-kai,EUR
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SWE,https://flixpatrol.com/title/project-power,EUR
35,TV Show,Lucifer,USA,Superhero,2016-01-25,True,83%,87%,SWE,https://flixpatrol.com/title/lucifer,EUR
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,SWE,https://flixpatrol.com/title/project-power,EUR
34,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,SWE,https://flixpatrol.com/title/modern-family,EUR
33,Movie,Work It,USA,Comedy,2020-08-07,True,61%,,SWE,https://flixpatrol.com/title/work-it-2020,EUR
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,SWE,https://flixpatrol.com/title/the-umbrella-academy,EUR
32,Movie,Mad Max: Fury Road,USA,Science Fiction,2015-05-15,False,82%,97%,SWE,https://flixpatrol.com/title/mad-max-fury-road,EUR
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83%,82%,SWE,https://flixpatrol.com/title/the-umbrella-academy,EUR
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,SWE,https://flixpatrol.com/title/the-kissing-booth-2,EUR
31,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84%,,SWE,https://flixpatrol.com/title/modern-family,EUR
30,Movie,Venom,USA,Superhero,2018-10-03,False,71%,29%,SWE,https://flixpatrol.com/title/venom-2018,EUR
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51%,69%,SWE,https://flixpatrol.com/title/cursed-2020,EUR
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,SWE,https://flixpatrol.com/title/the-old-guard,EUR
29,TV Show,Snowpiercer,USA,Science Fiction,2020-05-17,True,61%,62%,SWE,https://flixpatrol.com/title/snowpiercer-2020,EUR
28,Movie,It: Chapter 2,USA,Horror,2019-09-05,False,70%,63%,SWE,https://flixpatrol.com/title/it-chapter-2,EUR
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69%,,SWE,https://flixpatrol.com/title/warrior-nun,EUR
27,Movie,Eurovision Song Contest: The Story of Fire Saga,USA,Comedy,2020-06-26,True,78%,63%,SWE,https://flixpatrol.com/title/eurovision-song-contest-the-story-of-fire-saga,EUR
