week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Train to Busan,South Korea,Horror,2016-07-20,False,75%,94%,THA,https://flixpatrol.com/title/train-to-busan,ASI
37,TV Show,The World of the Married,,,2020-03-27,False,,,THA,https://flixpatrol.com/title/the-world-of-the-married,ASI
36,Movie,I Love You Two,,,2016-12-28,False,,,THA,https://flixpatrol.com/title/i-love-you-two,ASI
36,TV Show,The World of the Married,,,2020-03-27,False,,,THA,https://flixpatrol.com/title/the-world-of-the-married,ASI
35,Movie,Pee Nak 2,,,2020-02-20,False,,,THA,https://flixpatrol.com/title/pee-nak-2,ASI
35,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
34,Movie,Friend Zone,,,2019-02-14,False,,,THA,https://flixpatrol.com/title/friend-zone-2019,ASI
34,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
33,Movie,Ocean's 8,USA,Crime,2018-06-08,False,62%,,THA,https://flixpatrol.com/title/oceans-8,ASI
33,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
32,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,THA,https://flixpatrol.com/title/skyscraper,ASI
32,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
31,Movie,Parasite,South Korea,Drama,2019-05-30,False,80%,99%,THA,https://flixpatrol.com/title/parasite-2019,ASI
31,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
30,Movie,Necromancer 2020,,,2019-11-14,False,,,THA,https://flixpatrol.com/title/necromancer-2020,ASI
30,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,THA,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
28,Movie,12 Strong,USA,War,2018-01-16,False,66%,50%,THA,https://flixpatrol.com/title/12-strong,ASI
28,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
27,Movie -- --,Lord Bunlue,,,Movie,False,,,THA,https://flixpatrol.com/title/lord-bunlue,ASI
27,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
26,Short,Low Season,Denmark,,2020-03-20,False,,,THA,https://flixpatrol.com/title/low-season,ASI
26,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,THA,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,THA,https://flixpatrol.com/title/365-days,ASI
25,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,THA,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,THA,https://flixpatrol.com/title/365-days,ASI
24,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,THA,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
23,Movie,X-Men: Apocalypse,USA,Superhero,2016-05-18,False,72%,48%,THA,https://flixpatrol.com/title/x-men-apocalypse,ASI
23,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,THA,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
22,Movie,Heartbeats,Thailand,,2019-12-12,False,,,THA,https://flixpatrol.com/title/heartbeats-2019,ASI
22,TV Show,Snowpiercer,USA,Science Fiction,2020-05-17,True,61%,62%,THA,https://flixpatrol.com/title/snowpiercer-2020,ASI
21,Movie,Bikeman 2,Thailand,,2019-10-23,False,,,THA,https://flixpatrol.com/title/bikeman-2,ASI
21,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,THA,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
20,Movie,Khun Phaen Begins,Thailand,,2019-10-10,False,71%,,THA,https://flixpatrol.com/title/khun-phaen-begins,ASI
