week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Movie,Jack Reacher,USA,Thriller,2012-12-21,False,70%,62%,TWN,https://flixpatrol.com/title/jack-reacher,ASI
37,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
36,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,TWN,https://flixpatrol.com/title/project-power,ASI
36,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,TWN,https://flixpatrol.com/title/project-power,ASI
35,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,TWN,https://flixpatrol.com/title/project-power,ASI
34,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
33,Movie,Ocean's 8,USA,Crime,2018-06-08,False,62%,,TWN,https://flixpatrol.com/title/oceans-8,ASI
33,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
32,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,TWN,https://flixpatrol.com/title/skyscraper,ASI
32,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
31,Movie,Bad Boys for Life,USA,Action,2020-01-16,False,74%,77%,TWN,https://flixpatrol.com/title/bad-boys-for-life,ASI
31,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
30,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,TWN,https://flixpatrol.com/title/the-old-guard,ASI
30,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,TWN,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
28,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,TWN,https://flixpatrol.com/title/365-days,ASI
28,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
27,Movie,The Bridge Curse,Taiwan,Horror,2020-02-27,False,,,TWN,https://flixpatrol.com/title/the-bridge-curse,ASI
27,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
26,Movie,Jurassic World: Fallen Kingdom,USA,Science Fiction,2018-06-06,False,67%,47%,TWN,https://flixpatrol.com/title/jurassic-world-fallen-kingdom,ASI
26,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,TWN,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
25,Movie,Sniper: Ultimate Kill,USA,Action,2017-10-03,False,56%,,TWN,https://flixpatrol.com/title/sniper-ultimate-kill,ASI
25,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,TWN,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,TWN,https://flixpatrol.com/title/365-days,ASI
24,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,TWN,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
23,Movie,Blockers,USA,Comedy,2018-03-14,False,62%,83%,TWN,https://flixpatrol.com/title/blockers,ASI
23,TV Show,Hospital Playlist,South Korea,Drama,2020-03-12,True,84%,,TWN,https://flixpatrol.com/title/hospital-playlist,ASI
22,Movie,X-Men: Apocalypse,USA,Superhero,2016-05-18,False,72%,48%,TWN,https://flixpatrol.com/title/x-men-apocalypse,ASI
22,TV Show,The King: Eternal Monarch,South Korea,Fantasy,2020-04-17,True,87%,,TWN,https://flixpatrol.com/title/the-king-eternal-monarch,ASI
21,Movie,Rampage,USA,Adventure,2018-04-19,False,66%,51%,TWN,https://flixpatrol.com/title/rampage,ASI
21,TV Show,The Victims' Game,Taiwan,Crime,2020-04-30,True,76%,,TWN,https://flixpatrol.com/title/the-victims-game,ASI
20,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,TWN,https://flixpatrol.com/title/extraction-2020,ASI
20,TV Show,The Victims' Game,Taiwan,Crime,2020-04-30,True,76%,,TWN,https://flixpatrol.com/title/the-victims-game,ASI
19,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,TWN,https://flixpatrol.com/title/extraction-2020,ASI
19,TV Show,The Victims' Game,Taiwan,Crime,2020-04-30,True,76%,,TWN,https://flixpatrol.com/title/the-victims-game,ASI
18,Movie,Extraction,USA,Action,2020-04-24,True,70%,68%,TWN,https://flixpatrol.com/title/extraction-2020,ASI
18,TV Show,"Hi Bye, Mama!",South Korea,Drama,2020-04-25,True,82%,,TWN,https://flixpatrol.com/title/hi-bye-mama,ASI
17,Movie,Earth and Blood,France,Action,2020-04-17,True,50%,,TWN,https://flixpatrol.com/title/earth-and-blood,ASI
17,TV Show,"Hi Bye, Mama!",South Korea,Drama,2020-04-25,True,82%,,TWN,https://flixpatrol.com/title/hi-bye-mama,ASI
16,Movie,Tigertail,USA,Drama,2020-04-10,False,62%,83%,TWN,https://flixpatrol.com/title/tigertail,ASI
16,TV Show,"Hi Bye, Mama!",South Korea,Drama,2020-04-25,True,82%,,TWN,https://flixpatrol.com/title/hi-bye-mama,ASI
15,Movie,Howls Moving Castle,Japan,Animated,2004-11-19,False,82%,,TWN,https://flixpatrol.com/title/howls-moving-castle,ASI
15,TV Show,"Hi Bye, Mama!",South Korea,Drama,2020-04-25,True,82%,,TWN,https://flixpatrol.com/title/hi-bye-mama,ASI
14,Movie,Howls Moving Castle,Japan,Animated,2004-11-19,False,82%,,TWN,https://flixpatrol.com/title/howls-moving-castle,ASI
14,TV Show,"Hi Bye, Mama!",South Korea,Drama,2020-04-25,True,82%,,TWN,https://flixpatrol.com/title/hi-bye-mama,ASI
