week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent
37,Documentary,Sky Tour: The Movie,Vietnam,Documentary,2020-06-12,False,55%,,VNM,https://flixpatrol.com/title/sky-tour-the-movie,ASI
37,TV Show,Doctor Stranger,South Korea,Drama,2014-05-05,False,76%,,VNM,https://flixpatrol.com/title/doctor-stranger,ASI
36,Movie,Catch Me If You Can,USA,Drama,2002-12-25,False,80%,96%,VNM,https://flixpatrol.com/title/catch-me-if-you-can,ASI
36,TV Show,The World of the Married,,,2020-03-27,False,,,VNM,https://flixpatrol.com/title/the-world-of-the-married,ASI
35,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,VNM,https://flixpatrol.com/title/project-power,ASI
35,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
34,Movie,Project Power,USA,Action,2020-08-14,True,61%,63%,VNM,https://flixpatrol.com/title/project-power,ASI
34,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
33,Movie,Ocean's 8,USA,Crime,2018-06-08,False,62%,,VNM,https://flixpatrol.com/title/oceans-8,ASI
33,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
32,Movie,Skyscraper,USA,Action,2018-07-04,False,61%,48%,VNM,https://flixpatrol.com/title/skyscraper,ASI
32,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62%,28%,VNM,https://flixpatrol.com/title/the-kissing-booth-2,ASI
31,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
30,Movie -- --,The Eve of Never,,,Movie,False,,,VNM,https://flixpatrol.com/title/the-eve-of-never,ASI
30,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82%,80%,VNM,https://flixpatrol.com/title/the-old-guard,ASI
29,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
28,Movie,365 Days,Poland,Romance,2020-06-07,False,35%,,VNM,https://flixpatrol.com/title/365-days,ASI
28,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
27,Movie,Jurassic World: Fallen Kingdom,USA,Science Fiction,2018-06-06,False,67%,47%,VNM,https://flixpatrol.com/title/jurassic-world-fallen-kingdom,ASI
27,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
26,Movie,Jurassic World: Fallen Kingdom,USA,Science Fiction,2018-06-06,False,67%,47%,VNM,https://flixpatrol.com/title/jurassic-world-fallen-kingdom,ASI
26,TV Show,It's Okay to Not Be Okay,South Korea,Drama,2020-06-20,True,90%,,VNM,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI
