sex,height,shoe_size
woman,160,40
woman,171,39
woman,174,39
woman,176,40
man,195,46
woman,157,37
woman,160,38
woman,178,39
woman,168,38
man,171,41
woman,165,39
man,175,44
woman,163,38
woman,158,37
woman,159,38
man,183,44
woman,155,37
woman,172,39
woman,164,39
woman,158,35
woman,174,37
woman,164,37
woman,168,38
woman,168,38
woman,163,37
woman,160,37
man,183,46
woman,161,38
woman,162,36
woman,165,37
woman,164,36
woman,161,37
woman,163,39
woman,169,40
woman,171,39
woman,163,38
woman,159,36
woman,180,42
woman,168,38
woman,170,38
woman,168,38
man,180,42
man,183,44
woman,170,40
woman,172,39
woman,163,38
woman,168,38
woman,1.84,41
woman,169,38
man,206,50
woman,165,38
woman,171,40
woman,165,37
woman,168,38
man,180,44
woman,160,40
man,183,44
woman,160,36.5
woman,171,40
woman,167,39
woman,172,37
woman,1.63,38
woman,173,38
man,187,44
woman,176,40
man,180,42
woman,171.5,39
woman,364,88
woman,168,36
woman,175,39
man,185,42
man,205,48
woman,165,36
man,175,42
man,175,42
man,172,41
woman,156,36
woman,1.68,38
woman,163,37
woman,163,38
woman,1.73,38
woman,169,39
woman,178,39
woman,170,38
woman,168,38
NA,NA,NA
woman,170,39
woman,173,40
woman,171,40
woman,163,38
woman,166,38
woman,159,38
woman,178,41
man,178,44
woman,169,40
woman,158,37
woman,170,39
woman,183,39
woman,173,40
woman,160,37
woman,168,39
